statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Katherine Clark,"September 12, 2025",“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,mostly-true,post on X,Corrections and Updates; Federal Budget; Health Care,Louis Jacobson,"September 17, 2025",https://www.politifact.com/factchecks/2025/sep/17/katherine-clark/aca-enhanced-subsidies-renewal-government-shutdown/
X posts,"August 16, 2025",“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,mostly-false,X post,Health Care; North Carolina,Paul Specht,"September 16, 2025",https://www.politifact.com/factchecks/2025/sep/16/tweets/does-new-north-carolina-law-allow-doctors-to-pract/
Robert F. Kennedy Jr.,"September 4, 2025",“Everybody can get” the COVID-19 vaccine.,mostly-false,Senate Finance Committee hearing,Health Care; Public Health; Coronavirus,Grace Abels,"September 4, 2025",https://www.politifact.com/factchecks/2025/sep/04/robert-f-kennedy-jr/robert-f-kennedy-jr-said-everybody-can-get-the-cov/
TikTok posts,"July 19, 2025",“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,pants-fire,post on TikTok,National; Health Care,Madison Czopek,"July 21, 2025",https://www.politifact.com/factchecks/2025/jul/21/tiktok-posts/4-days-left-tiktoks-exaggerate-the-danger-of-presi/
Kevin Hassett,"July 6, 2025","A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",mostly-false,"interview with CBS News' ""Face the Nation""",Economy; Health Care; Medicaid,Louis Jacobson,"July 11, 2025",https://www.politifact.com/factchecks/2025/jul/11/kevin-hassett/medicaid-cuts-five-million-double-coverage/
John Thune,"May 30, 2025","“A lot of times, health care comes with a job.”",half-true,interview with KOTA,Health Care; Health Check,Arielle Zionts,"June 27, 2025",https://www.politifact.com/factchecks/2025/jun/27/john-thune/thune-says-health-care-often-comes-with-a-job-the/
Rick Scott,"June 8, 2025","Four million more people live in Florida, but New York gets $20 billion more for Medicaid, because it covers illegal immigrants and adults without chronic illness.",mostly-false,television interview,Immigration; Health Care; Medicaid; State Budget; Florida; New York,Jill Terreri Ramos,"June 22, 2025",https://www.politifact.com/factchecks/2025/jun/22/rick-scott/federal-funds-are-not-used-to-enroll-undocumented/
Donald Trump,"May 20, 2025","In the House bill, “we’re not changing Medicaid,” only cutting “waste, fraud and abuse.”",false,remarks to reporters,Congress; Federal Budget; Health Care; Medicaid,Louis Jacobson,"May 22, 2025",https://www.politifact.com/factchecks/2025/may/22/donald-trump/medicaid-waste-fraud-abuse-changes/
Robert F. Kennedy Jr.,"May 14, 2025","It’s “all true” that the measles vaccine wanes quickly, was never fully safety tested and contains fetal debris.",false,Senate testimony,Health Care; Public Health; Science; Health Check,Madison Czopek,"May 16, 2025",https://www.politifact.com/factchecks/2025/may/16/robert-f-kennedy-jr/measles-vaccine-safety-testing-immunity-fetal-debr/
Bernie Sanders,"May 12, 2025","“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",half-true,post on X,Corrections and Updates; Health Care; Medicaid,Louis Jacobson,"May 16, 2025",https://www.politifact.com/factchecks/2025/may/16/bernie-sanders/medicaid-cut-house-republicans-trump/
Donald Trump,"May 11, 2025","Under a new executive order, prescription drug prices will be reduced “almost immediately.”",mostly-false,Truth Social post,Health Care,Louis Jacobson,"May 14, 2025",https://www.politifact.com/factchecks/2025/may/14/donald-trump/prescription-drug-price-cut-executive-order/
Nick LaLota,"March 4, 2025","“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",false,video message to constituents,Health Care; Medicaid; Health Check,Julie Appleby,"March 25, 2025",https://www.politifact.com/factchecks/2025/mar/25/nick-lalota/lalota-says-he-was-voting-to-protect-medicaid-othe/
Ro Khanna,"February 20, 2025",“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,half-true,TikTok video,Health Care; Medicare; Health Check,Suz Redfearn,"March 18, 2025",https://www.politifact.com/factchecks/2025/mar/18/ro-khanna/congressman-blames-trump-team-for-ending-telehealt/
A Better Wisconsin Together,"February 24, 2025",“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,half-true,Social media ads,National; Health Care; Legal Issues; Wisconsin,Hope Karnopp,"March 11, 2025",https://www.politifact.com/factchecks/2025/mar/11/better-wisconsin-together/did-court-candidate-schimel-not-join-71-wisconsin/
Facebook posts,"February 19, 2025","A measles outbreak in Gaines County, Texas, was caused by “a public health initiative” to “distribute free measles vaccines.”",false,Facebook post,Health Care; Public Health; Facebook Fact-checks; Texas,Loreben Tuquero,"February 28, 2025",https://www.politifact.com/factchecks/2025/feb/28/facebook-posts/no-a-vaccine-campaign-did-not-cause-the-gaines-cou/
Ron Johnson,"November 17, 2024",“There's never been a placebo-controlled study on childhood vaccines.”,false,TV interview,National; Children; Drugs; Health Care; Public Health; Wisconsin,Madeline Heim,"January 2, 2025",https://www.politifact.com/factchecks/2025/jan/02/ron-johnson/yes-there-have-been-placebo-controlled-studies-on/
Facebook posts,"December 10, 2024","“The true nature of cancer is a parasite, hence why, Ivermectin, in conjunction with mebendazole, and (fenbendazole) is so effective.”",false,Facebook post,Health Care; Facebook Fact-checks; Coronavirus,Caleb McCullough,"December 30, 2024",https://www.politifact.com/factchecks/2024/dec/30/facebook-posts/no-cancer-is-not-a-parasite-and-ivermectin-cant-cu/
Instagram posts,"December 2, 2024",“New $40K AIDS cure is nearly 100% effective and requires two shots yearly.”,false,Instagram post,Health Care; Facebook Fact-checks,Marta Campabadal Graus,"December 11, 2024",https://www.politifact.com/factchecks/2024/dec/11/instagram-posts/this-drug-helps-manage-infections-and-prevent-aids/
Social Media,"December 7, 2024","“Brian Thompson, the CEO of UnitedHealthcare, was set to testify against Nancy Pelosi for insider trading.”",false,posts,Congress; Health Care; Facebook Fact-checks,Loreben Tuquero,"December 10, 2024",https://www.politifact.com/factchecks/2024/dec/10/social-media/no-proof-unitedhealthcare-ceo-was-set-to-testify-a/
Threads posts,"December 9, 2024","Elon Musk criticized the UnitedHealthcare CEO shooter on X, saying, “It’s disgusting how everyone is turning this guy into some kind of folk hero.”",false,Threads post,Fake news; Health Care; Crime,Sofia Ahmed,"December 10, 2024",https://www.politifact.com/factchecks/2024/dec/10/threads-posts/no-elon-musk-didnt-say-he-was-disgusted-about-ever/
Social Media,"December 6, 2024",UnitedHealthcare posted a job opening for a CEO 24 hours after its CEO was killed.,false,social media posts,Economy; Fake news; Health Care; Jobs,Sofia Ahmed,"December 9, 2024",https://www.politifact.com/factchecks/2024/dec/09/social-media/unitedhealthcare-did-not-advertise-for-a-new-ceo-a/
Threads posts,"November 6, 2024",“Abortion is never medically necessary in the last trimester. Literally never. They just do a C-section.”,false,Threads post,Abortion; Health Care; Women,Samantha Putterman,"November 11, 2024",https://www.politifact.com/factchecks/2024/nov/11/threads-posts/abortion-never-medically-necessary-late-in-pregnan/
Donald Trump,"October 31, 2024",“I never mentioned” wanting to end the Affordable Care Act.,pants-fire,social media post,Health Care,Louis Jacobson,"November 2, 2024",https://www.politifact.com/factchecks/2024/nov/02/donald-trump/donald-trumps-pants-on-fire-claim-that-he-never-me/
Kamala Harris,"October 29, 2024",Former President Donald Trump would “force states to monitor women's pregnancies.”,false,speech,Abortion; Health Care,Louis Jacobson,"November 1, 2024",https://www.politifact.com/factchecks/2024/nov/01/kamala-harris/kamala-harris-wrong-that-donald-trump-would-force/
Donald Trump,"August 30, 2024","""Right to Try"" experimental drug program saved ""thousands and thousands of lives.""",false,campaign speech,Elections; Health Care; Health Check,Jacob Gardenswartz,"October 31, 2024",https://www.politifact.com/factchecks/2024/oct/31/donald-trump/no-evidence-trumps-experimental-drug-program-for-t/
Kamala Harris,"September 27, 2024",Former President Donald Trump wants to take away the Affordable Care Act.,half-true,campaign ad,National; Health Care; Public Health; Ad Watch,Marta Campabadal Graus,"October 24, 2024",https://www.politifact.com/factchecks/2024/oct/24/kamala-harris/ad-watch-does-donald-trump-want-to-terminate-the-a/
JD Vance,"September 17, 2024",“We're bankrupting a lot of hospitals by forcing these hospitals  to provide care for people who don't have the legal right to be in our country.”,false,comments made at a campaign rally,Health Care; Public Health; Health Check,Sam Whitehead,"October 23, 2024",https://www.politifact.com/factchecks/2024/oct/23/jd-vance/vance-wrongly-blames-rural-hospital-closures-on-im/
Eric Hovde,"September 16, 2024","Says opponent Sen. Tammy Baldwin “gave our taxpayer money to a transgender-affirming clinic … that does it without even telling parents.""",false,Radio interview,Children; Families; Health Care; LGBTQ; Wisconsin,Madeline Heim,"October 3, 2024",https://www.politifact.com/factchecks/2024/oct/03/eric-hovde/no-wisconsin-sen-baldwin-did-not-give-federal-mone/
Tim Sheehy,"September 27, 2024","U.S. Sen. Jon Tester “voted to give taxpayer-funded health care to illegal immigrants.""",false,ad,Immigration; Health Care; 2024 Senate Elections,Louis Jacobson,"September 30, 2024",https://www.politifact.com/factchecks/2024/sep/30/tim-sheehy/in-montana-senate-race-tim-sheehy-airs-inaccurate/
Kamala Harris,"September 10, 2024",“Donald Trump said he was going to allow Medicare to negotiate drug prices. He never did. We did.”,true,ABC News presidential debate,Corrections and Updates; Health Care; Health Check,Jacob Gardenswartz,"September 30, 2024",https://www.politifact.com/factchecks/2024/sep/30/kamala-harris/trump-never-managed-to-implement-rx-drug-price-neg/
JD Vance,"September 10, 2024","“Communicable diseases like HIV and TB (tuberculosis) have skyrocketed” after Haitian migrants came to Springfield, Ohio.",mostly-false,interview,Immigration; Health Care; Public Health,Maria Ramirez Uribe,"September 26, 2024",https://www.politifact.com/factchecks/2024/sep/26/jd-vance/communicable-disease-rates-in-springfield-ohio-hav/
JD Vance,"September 15, 2024","Former President Donald Trump could have destroyed the Affordable Care Act, but “he chose to build upon (it).""",false,"""Meet the Press"" interview",Health Care; Health Check,Julie Appleby,"September 20, 2024",https://www.politifact.com/factchecks/2024/sep/20/jd-vance/vance-misleads-trump-tried-to-take-the-aca-down-no/
Jon Tester,"September 6, 2024",“Tim Sheehy told us his health care plan: ‘We need to return health care to pure privatization.’ That would eliminate Medicare.”,mostly-false,Facebook ad,Health Care; Medicare; 2024 Senate Elections,Louis Jacobson,"September 20, 2024",https://www.politifact.com/factchecks/2024/sep/20/jon-tester/in-montana-senate-race-jon-tester-exaggerates-tim/
Kamala Harris,"July 20, 2024",Donald Trump “took away protections against discrimination for LGBTQ patients under the Affordable Care Act.”,mostly-true,remarks at a fundraiser,National; Health Care; LGBTQ,Grace Abels,"September 9, 2024",https://www.politifact.com/factchecks/2024/sep/09/kamala-harris/mostly-true-trump-admin-reversed-lgbtq-protections/
Donald Trump,"August 30, 2024","“The transgender thing is incredible... your kid goes to school and comes home a few days later with an operation. The school decides what’s going to happen with your child.""",pants-fire,interview at a Moms for Liberty Conference,Education; Health Care; LGBTQ,Grace Abels,"September 5, 2024",https://www.politifact.com/factchecks/2024/sep/05/donald-trump/trumps-pants-on-fire-claim-that-schools-are-perfor/
Elizabeth Warren,"August 25, 2024","“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",true,interview,Abortion; Elections; Health Care; Women,Samantha Putterman,"August 30, 2024",https://www.politifact.com/factchecks/2024/aug/30/elizabeth-warren/jd-vance-joined-republican-letter-urging-doj-to-en/
Donald Trump,"July 26, 2024",Kamala Harris “wants to forcibly compel doctors and nurses against their will to give chemical castration drugs to young children.”,false,remarks at Turning Point USA summit,Health Care; LGBTQ,Grace Abels,"August 29, 2024",https://www.politifact.com/factchecks/2024/aug/29/donald-trump/trumps-false-claim-harris-wants-to-forcibly-compel/
Donald Trump,"July 24, 2024","“Vice President, Kamala Harris cast the tie-breaking vote to cut, as you know, Medicare by $273 billion. She cast a vote to cut Medicare.”",false,speech at a campaign rally,Health Care; Medicare; Health Check,Jacob Gardenswartz,"August 15, 2024",https://www.politifact.com/factchecks/2024/aug/15/donald-trump/haris-did-not-vote-to-cut-medicare-despite-trump-c/
Kamala Harris,"July 30, 2024",Donald Trump “intends to cut” Medicare.,mostly-false,rally,Elections; Health Care; Medicare,Louis Jacobson,"August 7, 2024",https://www.politifact.com/factchecks/2024/aug/07/kamala-harris/kamala-harris-says-donald-trump-intends-to-cut-med/
Tammy Baldwin,"July 23, 2024","Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”",true,Public appearance,National; Elections; Health Care; Wisconsin; 2024 Senate Elections,Hope Karnopp,"August 7, 2024",https://www.politifact.com/factchecks/2024/aug/07/tammy-baldwin/does-gop-senate-candidate-eric-hovde-want-to-repea/
Donald Trump,"July 24, 2024",Vice President Kamala Harris “endorsed free taxpayer-funded government health care for all illegal aliens.”,mostly-false,speech at a rally,Immigration; Health Care; Public Health; Health Check,Stephanie Armour,"July 31, 2024",https://www.politifact.com/factchecks/2024/jul/31/donald-trump/gop-charge-that-kamala-harris-backed-taxpayer-fund/
Kamala Harris,"July 18, 2024",Project 2025 calls for restricting “access to IVF and contraception.”,mostly-false,campaign event,National; Health Care; Women,Samantha Putterman,"July 24, 2024",https://www.politifact.com/factchecks/2024/jul/24/kamala-harris/fact-checking-kamala-harris-on-project-2025-limiti/
Instagram posts,"July 10, 2024",Switzerland banned mammograms.,false,Instagram post,Health Care; Women; Health Check; Facebook Fact-checks,Mia Penner,"July 16, 2024",https://www.politifact.com/factchecks/2024/jul/16/instagram-posts/no-switzerland-didnt-ban-mammograms/
Donald Trump,"June 8, 2024","Lower insulin prices were the work of the Trump administration, not “Crooked Joe Biden. He had NOTHING to do with it.”",false,Truth Social post,Health Care; Health Check,Jacob Gardenswartz,"July 12, 2024",https://www.politifact.com/factchecks/2024/jul/12/donald-trump/trump-wrong-in-claiming-full-credit-for-lowering-i/
Kamala Harris,"July 6, 2024","Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",true,moderated conversation,National; Health Care; Women,Samantha Putterman,"July 11, 2024",https://www.politifact.com/factchecks/2024/jul/11/kamala-harris/kamala-harris-is-right-black-women-in-the-us-have/
Threads posts,"July 27, 2024",C-sections are coded as abortions in hospitals.,false,Threads post,Abortion; Health Care; Women,Samantha Putterman,"July 5, 2024",https://www.politifact.com/factchecks/2024/jul/05/threads-posts/no-c-sections-are-not-coded-as-abortions-in-hospit/
Democratic Legislative Campaign Committee,"June 5, 2024",Republican legislatures “have targeted birth control” and in Wisconsin “refused to schedule a vote on a bill that would have codified a right to birth control.”,half-true,News release,Health Care; Legal Issues; Women; Wisconsin,Hope Karnopp,"June 14, 2024",https://www.politifact.com/factchecks/2024/jun/14/democratic-legislative-campaign-committee/did-wisconsin-republicans-target-birth-control-and/
Joe Biden,"May 8, 2024","If the Affordable Care Act were terminated, “that would mean over a hundred million Americans will lose protections for preexisting conditions.”",mostly-true,Biden for President campaign ad,Health Care; Health Check,Jacob Gardenswartz,"June 12, 2024",https://www.politifact.com/factchecks/2024/jun/12/joe-biden/biden-mostly-right-on-how-obamacare-repeal-would-a/
Joe Biden,"May 19, 2024",Donald Trump wants to terminate the Affordable Care Act.,half-true,speech,National; Health Care; Public Health,Samantha Putterman,"June 3, 2024",https://www.politifact.com/factchecks/2024/jun/03/joe-biden/does-trump-want-to-repeal-the-aca-as-biden-says-tr/
Ron Johnson,"April 15, 2024","""Every Senate Democrat has voted to support unlimited abortions up to the moment of birth.”",false,Podcast,Abortion; Health Care; Legal Issues; Women; Wisconsin,D.L. Davis,"May 17, 2024",https://www.politifact.com/factchecks/2024/may/17/ron-johnson/johnson-falls-short-with-claim-on-democrats-backin/
Tammy Baldwin,"May 5, 2024","“When I worked on the Affordable Care Act, I wrote the amendment that allows all young people to stay on their parents’ health insurance until they turn 26. Overnight, millions of young Americans got health care.”",mostly-true,"X, formerly Twitter",National; Children; Health Care; Public Health; Wisconsin,Madeline Heim,"May 17, 2024",https://www.politifact.com/factchecks/2024/may/17/tammy-baldwin/yes-millions-of-young-americans-got-health-care-be/
Facebook posts,"May 11, 2024",“They are hiding the fact that Barbara O’Neill’s cousin was sentenced to life in prison for revealing these gatekept health secrets.”,false,video,Health Care; Facebook Fact-checks; Artificial intelligence,Kwasi Gyamfi Asiedu,"May 16, 2024",https://www.politifact.com/factchecks/2024/may/16/facebook-posts/no-proof-barbara-oneills-cousin-was-sentenced-to-l/
Paul Renner,"April 4, 2024","For health risk exceptions in Florida’s abortion amendment, “You're not even talking to a doctor to make that determination.”",false,interview,Abortion; Florida Amendments; Health Care; Florida,Maria Briceño,"May 10, 2024",https://www.politifact.com/factchecks/2024/may/10/paul-renner/florida-abortion-amendment-wouldnt-let-tattoo-arti/
Joe Biden,"May 1, 2024",Former President Donald Trump told Time magazine that “states should monitor women’s pregnancies and prosecute those who violate abortion bans.”,mostly-false,campaign event,Abortion; Health Care; Women,Samantha Putterman,"May 3, 2024",https://www.politifact.com/factchecks/2024/may/03/joe-biden/joe-bidens-misleading-version-of-what-trump-told-t/
Greg Steube,"April 14, 2024","Immigrants in the country illegally cost “Florida taxpayers $566 million for 54,000 hospital visits.”",mostly-false,X post,Immigration; Health Care; Florida,Maria Ramirez Uribe,"May 2, 2024",https://www.politifact.com/factchecks/2024/may/02/greg-steube/did-the-health-care-of-immigrants-illegally-in-the/
Kamala Harris,"May 1, 2024","In his Time magazine interview, Donald Trump “said states have the right to monitor pregnant women to enforce these bans, and states have the right to punish pregnant women for seeking out abortion care.”",mostly-true,speech,Abortion; National; Health Care; Florida,Louis Jacobson,"May 2, 2024",https://www.politifact.com/factchecks/2024/may/02/kamala-harris/did-trump-say-states-have-the-right-to-monitor-pun/
Ron DeSantis,"April 23, 2024","Florida’s Amendment 4 ""will mandate abortion until the moment of birth.”",false,news conference,Abortion; Florida Amendments; Health Care; Florida,Samantha Putterman,"April 30, 2024",https://www.politifact.com/factchecks/2024/apr/30/ron-desantis/no-a-florida-ballot-measure-wouldnt-mandate-aborti/
Facebook posts,"April 21, 2024",Megyn Kelly promoted the “exotic coffee method” for weight loss on “Megyn Kelly Today.”,false,Facebook post,Fake news; Health Care; Facebook Fact-checks,Sofia Ahmed,"April 25, 2024",https://www.politifact.com/factchecks/2024/apr/25/facebook-posts/altered-video-appears-to-show-megyn-kelly-promotin/
Facebook posts,"April 9, 2024",Dr. Mehmet Oz promoted a weight loss supplement that can be added to coffee.,pants-fire,Facebook post,Health Care; Facebook Fact-checks,Sofia Ahmed,"April 25, 2024",https://www.politifact.com/factchecks/2024/apr/25/facebook-posts/altered-video-shows-dr-oz-promoting-a-coffee-weigh/
Joe Biden,"April 9, 2024","Starting in 2025 ""no matter what your total bills are for prescription drugs,” Medicare Part D users will never pay “more than $2,000 a year, because some of these cancer drugs are 10(,000 to) 15,000 bucks a year.”",mostly-true,interview with Univision,National; Health Care; Medicare,Amy Sherman,"April 18, 2024",https://www.politifact.com/factchecks/2024/apr/18/joe-biden/bidens-statement-about-capping-prescription-costs/
Facebook posts,"April 6, 2024",Tennessee has become the first state in the U.S. to ban Bill Gates’ mRNA from being pumped into the food supply.,false,Facebook post,Tennessee; Drugs; Fake news; Food; Food Safety; Health Care; Facebook Fact-checks,Sofia Ahmed,"April 11, 2024",https://www.politifact.com/factchecks/2024/apr/11/facebook-posts/a-tennessee-bill-doesnt-ban-vaccines-from-being-pu/
Joe Biden,"March 19, 2024","Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",half-true,speech,National; Health Care; Medicare,Samantha Putterman,"April 2, 2024",https://www.politifact.com/factchecks/2024/apr/02/joe-biden/biden-is-right-about-35-insulin-cap-but-exaggerate/
Facebook posts,"March 22, 2024",There was an “attempt on the life” of Dr. Oz after he shared a blood pressure treatment.,false,Facebook posts,Consumer Safety; Fake news; Health Care; Facebook Fact-checks,Sofia Ahmed,"March 29, 2024",https://www.politifact.com/factchecks/2024/mar/29/facebook-posts/dr-oz-wasnt-attacked-on-tv-for-talking-about-a-new/
Joe Biden,"March 7, 2024",“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,half-true,his State of the Union address,National; Economy; Health Care; Medicare,Amy Sherman,"March 11, 2024",https://www.politifact.com/factchecks/2024/mar/11/joe-biden/biden-said-medicare-drug-price-negotiations-cut-th/
Amanda Nedweski,"January 22, 2024","""We have technology and medical advancements today that can tell you if you are pregnant the day after conception.""",false,Wisconsin Assembly,Health Care; Women; Wisconsin,Madeline Heim,"March 8, 2024",https://www.politifact.com/factchecks/2024/mar/08/amanda-nedweski/no-you-cant-tell-if-youre-pregnant-the-day-after-c/
Joe Biden,"February 22, 2024","If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",mostly-true,a campaign reception,National; Health Care; Public Health,Samantha Putterman,"March 4, 2024",https://www.politifact.com/factchecks/2024/mar/04/joe-biden/for-the-most-part-the-us-pays-double-for-prescript/
Instagram posts,"February 22, 2024",“Study reveals Bill Gates’ Fake Meat causes ‘turbo cancers’ in humans.”,false,post on Instagram,Food; Health Care; Science; Health Check,Madison Czopek,"February 28, 2024",https://www.politifact.com/factchecks/2024/feb/28/instagram-posts/no-proof-a-study-found-lab-grown-meat-funded-by-bi/
Tammy Baldwin,"February 1, 2024",“Big drug companies charge as little as $7 for an inhaler overseas and nearly $500 for the exact same one here in the US.”,mostly-true,Facebook post,National; Drugs; Health Care; Medicare; Public Health; Wisconsin,D.L. Davis,"February 23, 2024",https://www.politifact.com/factchecks/2024/feb/23/tammy-baldwin/yes-the-price-of-an-inhaler-in-the-us-is-massively/
Instagram posts,"February 11, 2024","If a woman in Texas takes “abortion pills voluntarily,” she would be “charged with murder.”",false,Instagram post,Abortion; Health Care; Facebook Fact-checks; Texas,Jeff Cercone,"February 14, 2024",https://www.politifact.com/factchecks/2024/feb/14/instagram-posts/women-who-undergo-abortions-including-medication-a/
Robin Vos,"January 7, 2024",“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”,mostly-false,TV interview,Abortion; National; Health Care; Women; Wisconsin,D.L. Davis,"February 9, 2024",https://www.politifact.com/factchecks/2024/feb/09/robin-vos/wisconsins-20-week-limit-on-abortion-access-is-rea/
Kamala Harris,"January 29, 2024",Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,true,interview with Univision Noticias,Health Care; Medicaid,Marta Campabadal Graus,"February 8, 2024",https://www.politifact.com/factchecks/2024/feb/08/kamala-harris/fact-checking-kamala-harris-did-the-biden-administ/
Instagram posts,"January 31, 2024",The Marburg virus has been implanted into people who were vaccinated and has nanotechnology that can be activated through 5G technology.,pants-fire,Instagram post,Health Care; Facebook Fact-checks; Coronavirus,Sofia Ahmed,"February 1, 2024",https://www.politifact.com/factchecks/2024/feb/01/instagram-posts/no-the-covid-19-vaccine-does-not-contain-a-marburg/
Instagram posts,"January 23, 2024",Oat milk “raises your blood sugar as much as drinking a Coke.”,false,Instagram post,Food; Health Care; Facebook Fact-checks,Sofia Ahmed,"January 31, 2024",https://www.politifact.com/factchecks/2024/jan/31/instagram-posts/no-oat-milk-does-not-raise-blood-sugar-as-fast-as/
Instagram posts,"January 16, 2024",Vaccines that are routinely given to children contain unsafe amounts of aluminum.,false,TikTok post,Children; Health Care; Facebook Fact-checks,Sofia Ahmed,"January 19, 2024",https://www.politifact.com/factchecks/2024/jan/19/instagram-posts/no-vaccines-do-not-contain-unsafe-amounts-of-alumi/
Facebook posts,"January 10, 2024","CNN reported that Dr. Ben Carson has discovered a natural cure for headaches, cholesterol levels and blood pressure symptoms.",false,image on Facebook,Health Care; Facebook Fact-checks,Katelyn Ferral,"January 12, 2024",https://www.politifact.com/factchecks/2024/jan/12/facebook-posts/this-cnn-headline-about-dr-ben-carson-is-fabricate/
Facebook posts,"January 4, 2024","A juice of carrots, cucumbers and garlic will ""restore perfect vision in seven days.”",false,reel on Facebook,Food; Health Care; Facebook Fact-checks,Katelyn Ferral,"January 12, 2024",https://www.politifact.com/factchecks/2024/jan/12/facebook-posts/no-this-cucumber-juice-recipe-wont-restore-vision/
Jill Billings,"November 14, 2023","“With school-based professional social workers, the recommendation is 400-to-1, and in Wisconsin, we’re almost triple that.”",true,Assembly floor speech,Children; Health Care; Public Health; Wisconsin,Tyler Katzenberger,"December 13, 2023",https://www.politifact.com/factchecks/2023/dec/13/jill-billings/is-it-true-wisconsin-youth-to-school-social-worker/
