statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Cavalier Johnson,"January 19, 2025","“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",true,TV interview,Education; Legal Issues; Taxes; Wisconsin,D.L. Davis,"March 3, 2025",https://www.politifact.com/factchecks/2025/mar/03/cavalier-johnson/mps-does-indeed-have-a-larger-tax-levy-than-the-ci/
Joel Kitchens,"February 19, 2025",“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,true,News conference,Children; Education; Wisconsin,Hope Karnopp,"February 28, 2025",https://www.politifact.com/factchecks/2025/feb/28/joel-kitchens/do-90-of-wisconsin-school-districts-ban-cellphones/
Donald Trump,"February 10, 2025","The United States is “last in education out of 40 states … but we're number one in cost per pupil.""",false,Fox News interview,Education; Federal Budget; DOGE,Caleb McCullough,"February 13, 2025",https://www.politifact.com/factchecks/2025/feb/13/donald-trump/us-education-system-doesnt-rank-worst-in-the-world/
Randy Fine,"January 28, 2025",Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,mostly-false,senate special session,Immigration; Education; Florida,Samantha Putterman,"February 6, 2025",https://www.politifact.com/factchecks/2025/feb/06/randy-fine/florida-sen-randy-fines-shaky-claim-that-immigrant/
Bernie Sanders,"January 2, 2025","H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",mostly-false,statement to the media,Immigration; National; Congress; Economy; Education; Labor,Amy Sherman,"January 9, 2025",https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/
Threads posts,"December 10, 2024",“Texas declares bringing a pride flag to the classroom a crime.”,false,Threads post,Education; Fake news; Legal Issues; LGBTQ; Texas,Sofia Ahmed,"December 12, 2024",https://www.politifact.com/factchecks/2024/dec/12/threads-posts/no-texas-didnt-criminalize-pride-flags-in-classroo/
Jay Rothman,"December 1, 2024","“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",true,TV interview,Education; State Budget; Wisconsin,Hope Karnopp,"December 12, 2024",https://www.politifact.com/factchecks/2024/dec/12/jay-rothman/would-the-uw-systems-855-million-budget-request-br/
Threads posts,"November 18, 2024",The Associated Press misspelled Mississippi in a headline about the state’s literacy program.,false,Threads post,Education; Fake news,Sofia Ahmed,"November 21, 2024",https://www.politifact.com/factchecks/2024/nov/21/threads-posts/this-supposed-associated-press-headline-that-missp/
Instagram posts,"November 13, 2024",“Breaking: Trump names Boebert secretary of education”,false,Instagram post,Education; Elections; Fake news,Sofia Ahmed,"November 15, 2024",https://www.politifact.com/factchecks/2024/nov/15/instagram-posts/no-donald-trump-didnt-name-lauren-boebert-educatio/
Lisa Grafstein,"October 12, 2024","Scott Lassiter “repeatedly campaigned to promote” North Carolina's “largest-ever” school funding cut, sending public school money to “unaccountable private schools” and ending science education.",false,campaign mailer,Education; North Carolina,Paul Specht,"October 25, 2024",https://www.politifact.com/factchecks/2024/oct/25/lisa-grafstein/nc-democrat-falsely-claims-her-republican-opponent/
Donald Trump,"September 18, 2024","When Haitians go to school in Springfield, Ohio, they “take the place of our children in school” and “each one will have a private interpreter.""",false,speech,Immigration; National; Ohio; Education; Elections,Amy Sherman,"September 23, 2024",https://www.politifact.com/factchecks/2024/sep/23/donald-trump/fact-checking-trumps-statement-about-haitian-stude/
Michele Morrow,"September 16, 2024",The plus in LGBTQ+ includes pedophilia.,pants-fire,social media post,Education; LGBTQ; North Carolina,Paul Specht,"September 17, 2024",https://www.politifact.com/factchecks/2024/sep/17/michele-morrow/ncs-michele-morrow-falsely-says-the-plus-in-lgbtq/
Kamala Harris,"August 28, 2024",Project 2025 would defund K-12 schools.,half-true,ad,National; Children; Education; Elections,Samantha Putterman,"September 6, 2024",https://www.politifact.com/factchecks/2024/sep/06/kamala-harris/project-2025-would-phase-out-federal-funds-for-pub/
Josh Stein,"September 5, 2024",“Mark Robinson skips Board of Education vote on teacher bonuses to hold campaign event.”,mostly-false,press release,Education; North Carolina,Paul Specht,"September 6, 2024",https://www.politifact.com/factchecks/2024/sep/06/josh-stein/checking-josh-steins-claim-about-mark-robinson-ski/
Donald Trump,"August 30, 2024","“The transgender thing is incredible... your kid goes to school and comes home a few days later with an operation. The school decides what’s going to happen with your child.""",pants-fire,interview at a Moms for Liberty Conference,Education; Health Care; LGBTQ,Grace Abels,"September 5, 2024",https://www.politifact.com/factchecks/2024/sep/05/donald-trump/trumps-pants-on-fire-claim-that-schools-are-perfor/
Social Media,"August 29, 2024","“BREAKING: Illegal Aliens in San Diego, California, tried to hijack 2 school buses filled with children.”",false,post on Instagram,Immigration; Children; Education; Facebook Fact-checks,Madison Czopek,"September 4, 2024",https://www.politifact.com/factchecks/2024/sep/04/social-media/fact-checking-the-false-claim-that-migrants-tried/
Jesse Watters,"August 6, 2024",Minnesota Gov. Tim Walz “forced schools to stock tampons in boys’ bathrooms.”,mostly-false,"segment on ""Jesse Watters Primetime""",Education; Elections; LGBTQ; States,Madison Czopek,"August 13, 2024",https://www.politifact.com/factchecks/2024/aug/13/jesse-watters/claim-that-gov-tim-walz-forced-schools-to-stock-ta/
Lindsey Graham,"August 6, 2024",Minnesota Gov. Tim Walz signed “legislation giving free college … to illegal immigrants.”,mostly-true,X post,Immigration; Education,Maria Ramirez Uribe,"August 9, 2024",https://www.politifact.com/factchecks/2024/aug/09/lindsey-graham/gov-tim-walz-signed-law-giving-some-minnesota-stud/
Kamala Harris,"July 18, 2024",Project 2025 would “end Head Start.”,true,campaign event,Children; Education; Families,Louis Jacobson,"July 23, 2024",https://www.politifact.com/factchecks/2024/jul/23/kamala-harris/kamala-harris-correct-that-project-2025-would-end/
Instagram posts,"June 16, 2024","California Assembly Bill 1955 “would allow schools to secretly, socially and perhaps medically transition your child without your knowledge and consent.""",false,Instagram post,Education; LGBTQ; California; Facebook Fact-checks,Jeff Cercone,"June 21, 2024",https://www.politifact.com/factchecks/2024/jun/21/instagram-posts/claim-misrepresents-california-bill-about-parental/
Tyler August,"May 3, 2024",“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,true,Newsletter,Economy; Education; States; Wisconsin,Sophia Voight,"May 15, 2024",https://www.politifact.com/factchecks/2024/may/15/tyler-august/how-likely-are-in-state-uw-students-to-stay-in-wis/
Mike Johnson,"April 24, 2024","Said Columbia University has told students, “Well, if you’re Jewish, maybe you do want to stay home.”",false,interview with CNN,Education; Israel; Foreign Policy; Religion,Louis Jacobson,"April 29, 2024",https://www.politifact.com/factchecks/2024/apr/29/mike-johnson/amid-columbia-protests-safety-concerns-speaker/
Megyn Kelly,"April 18, 2024",“School allows students to be terrorized by colleagues who identify as ‘furries.’”,false,Facebook post,Education,Madison Czopek,"April 26, 2024",https://www.politifact.com/factchecks/2024/apr/26/megyn-kelly/fact-checking-claim-that-a-utah-middle-school-allo/
Greta Neubauer,"April 11, 2024","“The GOP has failed to invest in our campuses, making WI fall to 42nd in the nation in state support.”",mostly-true,"X, formerly Twitter",Education; State Budget; Wisconsin,Hope Karnopp,"April 24, 2024",https://www.politifact.com/factchecks/2024/apr/24/greta-neubauer/are-democrats-right-that-republicans-are-to-blame/
Joe Biden,"April 8, 2024","Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",mostly-false,speech,National; Economy; Education; Jobs,Marta Campabadal Graus,"April 15, 2024",https://www.politifact.com/factchecks/2024/apr/15/joe-biden/fact-checking-joe-bidens-claim-on-education-requir/
Chris Larson,"November 9, 2023","Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",true,"X, formerly Twitter",Education; Medicaid; Wisconsin,Ricardo Torres,"February 16, 2024",https://www.politifact.com/factchecks/2024/feb/16/chris-larson/if-the-state-expanded-medicaid-could-wisconsin-hir/
Scott Walker,"January 21, 2024","""(The) top issue for college students is the economy.""",true,TV interview,Abortion; Economy; Education; Wisconsin,Hope Karnopp,"February 2, 2024",https://www.politifact.com/factchecks/2024/feb/02/scott-walker/scott-walker-said-college-voters-number-one-issue/
Jodi Emerson,"November 7, 2023","""On most campuses, you cannot destroy a chalked message unless you were the one that wrote it. You can't dump water on it, you can't even walk over it.""",mostly-true,Wisconsin Assembly,Education; States; Wisconsin,Hope Karnopp,"December 5, 2023",https://www.politifact.com/factchecks/2023/dec/05/jodi-emerson/is-erasing-others-chalk-messages-forbidden-on-univ/
Pink,"November 13, 2023",These 13 books “have been banned from schools in Florida.”,mostly-false,X post,Education; Pop Culture; Florida,Jeff Cercone,"November 20, 2023",https://www.politifact.com/factchecks/2023/nov/20/pink/banned-books-in-florida-schools-how-accurate-is-a/
Dean Phillips,"November 13, 2023","""Half of American high school students are not familiar with the Holocaust.""",mostly-false,speech at Dartmouth College,New Hampshire; Education; Race and Ethnicity,Louis Jacobson,"November 20, 2023",https://www.politifact.com/factchecks/2023/nov/20/dean-phillips/are-half-of-us-high-school-students-unfamiliar-wit/
Paula Congelio,"June 23, 2023",West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,half-true,news release,West Virginia; Education,Tayler Pillo,"October 10, 2023",https://www.politifact.com/factchecks/2023/oct/10/paula-congelio/has-west-virginia-university-increased-unfunded-ai/
West Virginia University Faculty Senate,"September 6, 2023",E. Gordon Gee’s university projects have increased “WVU’s debt load by 55%.”,mostly-false,no-confidence resolution,West Virginia; Education,Cody Matorin,"October 10, 2023",https://www.politifact.com/factchecks/2023/oct/10/west-virginia-university-faculty-senate/has-president-e-gordon-gee-increased-west-virginia/
E. Gordon Gee,"August 25, 2023",“Fewer than 2% of students are impacted whatsoever by the decisions we're making” to cut the budget.,mostly-false,interview with The Daily Athenaeum,West Virginia; Education,Griff Bihun,"October 10, 2023",https://www.politifact.com/factchecks/2023/oct/10/e-gordon-gee/are-less-than-2-of-wvu-students-impacted-by-the-el/
George Zimmerman,"July 11, 2023",“The percentage of students that are going to college (in West Virginia) has been declining for five years.”,mostly-true,interview with the Daily Athenaeum,West Virginia; Education,Aubrey Burkhardt,"October 6, 2023",https://www.politifact.com/factchecks/2023/oct/06/george-zimmerman/fact-checking-college-enrollment-trends-in-west-vi/
E. Gordon Gee,"August 18, 2023",Foreign languages are “not a high priority” nationally,half-true,interview with the Daily Athenaeum,West Virginia; Education,Derek Nastasi,"October 6, 2023",https://www.politifact.com/factchecks/2023/oct/06/e-gordon-gee/is-gordon-gee-right-that-foreign-languages-arent-a/
West Virginia University Faculty Senate,"September 9, 2023","During E. Gordon Gee's presidency of West Virginia University, ""student enrollments have steadily decreased.""",mostly-true,no-confidence resolution,West Virginia; Education,Ethan Moore,"October 5, 2023",https://www.politifact.com/factchecks/2023/oct/05/west-virginia-university-faculty-senate/has-wvu-enrollment-steadily-decreased-under-presid/
Randi Weingarten,"September 20, 2023","""Texas teacher fired for reading Diary of Anne Frank to class.”",half-true,X post,National; Education; LGBTQ; Texas,Jeff Cercone,"September 22, 2023",https://www.politifact.com/factchecks/2023/sep/22/randi-weingarten/texas-teacher-fired-for-assigning-illustrated-adap/
Unleash Prosperity Now,"August 13, 2023",“Gov. Roy Cooper is blocking a pioneering school choice bill that would give thousands of low-income parents the funds to allow their kids to get a high-quality education.”,mostly-false,political ad,Education; North Carolina,Paul Specht,"September 21, 2023",https://www.politifact.com/factchecks/2023/sep/21/unleash-prosperity-now/attack-ad-exaggerates-effects-of-school-choice-bil/
Joe Biden,"September 14, 2023",“I taught at the University of Pennsylvania for four years.”,half-true,speech,National; Candidate Biography; Education,Louis Jacobson,"September 19, 2023",https://www.politifact.com/factchecks/2023/sep/19/joe-biden/what-biden-omits-in-his-repeated-claim-about-teach/
Ron DeSantis,"August 4, 2023",“We’ve eliminated critical race theory in our K through 12 schools.”,mostly-false,town hall,National; Children; Education; Florida,Samantha Putterman,"August 14, 2023",https://www.politifact.com/factchecks/2023/aug/14/ron-desantis/desantis-says-he-removed-critical-race-theory-from/
Kamala Harris,"July 21, 2023","""Some states have “tried to ban teaching Latino and Hispanic history.”",mostly-false,a speech,National; Education; Florida,Marta Campabadal Graus,"August 7, 2023",https://www.politifact.com/factchecks/2023/aug/07/kamala-harris/kamala-harris-claim-about-states-banning-teaching/
Kamala Harris,"July 20, 2023",Florida “decided middle school students will be taught that enslaved people benefited from slavery.”,mostly-true,speech to the Delta Sigma Theta Sorority,Corrections and Updates; Education; History; Race and Ethnicity; Florida,Sofia Bliss-Carrascosa,"July 24, 2023",https://www.politifact.com/factchecks/2023/jul/24/kamala-harris/do-Florida-school-standards-say-enslaved-people/
Fox News Channel,"July 5, 2023",Gender Queer on NEA Summer Reading List for Kids.,false,chyron,Education; LGBTQ,Sofia Bliss-Carrascosa,"July 11, 2023",https://www.politifact.com/factchecks/2023/jul/11/fox-news-channel/gender-queer-was-on-the-neas-recommended-reading-l/
Ron DeSantis,"June 29, 2023",Donald Trump is an “affirmative action advocate.”,mostly-false,tweet,National; Education; Supreme Court; Florida,Jeff Cercone,"June 30, 2023",https://www.politifact.com/factchecks/2023/jun/30/ron-desantis/trump-was-fine-with-affirmative-action-in-2015-int/
Tim Scott,"June 18, 2023","“Think about parents who show up at school board meetings. By this DOJ, they’re called domestic terrorists.”",false,TV interview,Criminal Justice; Education; Terrorism,Sevana Wenn,"June 22, 2023",https://www.politifact.com/factchecks/2023/jun/22/tim-scott/sen-tim-scott-repeats-inaccurate-claims-about-doj/
Nikki Haley,"June 4, 2023","Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",false,CNN town hall,Education; LGBTQ; Sports; Women,Louis Jacobson,"June 6, 2023",https://www.politifact.com/factchecks/2023/jun/06/nikki-haley/nikki-haley-falsely-links-transgender-athletes-wit/
Ron DeSantis,"May 24, 2023",“There's not been a single book banned in the state of Florida.”,false,Twitter Spaces event,National; Education; LGBTQ; Florida,Matthew Crowley,"May 31, 2023",https://www.politifact.com/factchecks/2023/may/31/ron-desantis/ron-desantis-said-that-not-a-single-book-was-banne/
Francis Suarez,"May 21, 2023","“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",true,TV interview,Immigration; Education; Florida,Maria Ramirez Uribe,"May 23, 2023",https://www.politifact.com/factchecks/2023/may/23/francis-suarez/miami-mayor-is-right-miami-dade-public-schools-hav/
Kathy Hochul,"May 9, 2023",The New York state budget covers 96% of eligible preschoolers,mostly-true,news conference,Education; State Budget; New York,Jill Terreri Ramos,"May 18, 2023",https://www.politifact.com/factchecks/2023/may/18/kathy-hochul/nys-funding-for-pre-k-is-climbing-but-districts-fa/
Donald Trump,"May 10, 2023","“Many of these teachers are soldiers, ex-soldiers, ex-policeman.”",mostly-false,CNN town hall,National; Education; Veterans; Guns,Amy Sherman,"May 11, 2023",https://www.politifact.com/factchecks/2023/may/11/donald-trump/trump-said-many-teachers-are-ex-soldiers-data-show/
Facebook posts,"April 6, 2023",U.S. public schools don't teach the Declaration of Independence.,false,video shared on Facebook,Education; History; Facebook Fact-checks,Madison Czopek,"April 7, 2023",https://www.politifact.com/factchecks/2023/apr/07/facebook-posts/us-public-schools-are-still-teaching-about-declara/
North Carolina state House Democratic Caucus,"February 8, 2023",“North Carolina ranks last in the country in K-12 funding.”,mostly-false,tweet,Education; North Carolina,Paul Specht,"April 7, 2023",https://www.politifact.com/factchecks/2023/apr/07/north-carolina-state-house-democratic-caucus/nc-democrats-exaggerate-education-funding-ranking/
Brandon Creighton,"March 19, 2023","When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",half-true,Interview with WFAA,Education; Texas,Aarón Torres,"March 30, 2023",https://www.politifact.com/factchecks/2023/mar/30/brandon-creighton/texas-lawmaker-says-30-states-have-education-savin/
Tommy Tuberville,"March 2, 2023","""Half the kids in this country, when they graduate, can’t read their diploma.”",mostly-false,speech at the CPAC conference,Education,Louis Jacobson,"March 20, 2023",https://www.politifact.com/factchecks/2023/mar/20/tommy-tuberville/can-half-us-high-school-graduates-not-read-their-d/
Elise Stefanik,"February 3, 2023",New York City Mayor Eric Adams proposes to “ban chocolate milk.”,mostly-true,news release,Agriculture; Corrections and Updates; Education; Food; Public Health; New York,Cameron Carr,"March 8, 2023",https://www.politifact.com/factchecks/2023/mar/08/elise-stefanik/does-eric-adams-want-ban-chocolate-milk-nyc-school/
Stanley Litow,"February 7, 2023",“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,mostly-true,news release,Education; Workers; New York,Elizabeth Egan,"March 8, 2023",https://www.politifact.com/factchecks/2023/mar/08/stanley-litow/strong-support-for-notion-that-a-bachelors-degree/
Kat Cammack,"March 2, 2023","The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",false,speech at CPAC,National; Education; Crime; Florida,Madison Czopek,"March 2, 2023",https://www.politifact.com/factchecks/2023/mar/02/kat-cammack/at-cpac-florida-us-rep-repeats-false-claim-about-j/
Winsome Earle-Sears,"February 2, 2023",Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,false,radio interview.,Civil Rights; Education; Supreme Court; Virginia,Warren Fiske,"February 22, 2023",https://www.politifact.com/factchecks/2023/feb/22/winsome-sears/earle-sears-says-brown-v-board-decision-was-not-ab/
Sawyer Hackett,"January 16, 2023",Gov. Abbott “signed a bill last year eliminating the requirements for Texas schools to teach MLK’s ‘I have a dream’ speech.”,half-true,tweet,Education; History; Race and Ethnicity; Texas,Nusaiba Mizan,"February 14, 2023",https://www.politifact.com/factchecks/2023/feb/14/sawyer-hackett/texas-schools-can-still-teach-works-martin-luther/
Joe Biden,"February 7, 2023","""Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree, no matter their background they came from.""",mostly-true,his State of the Union address,Children; Education; Poverty,Louis Jacobson,"February 13, 2023",https://www.politifact.com/factchecks/2023/feb/13/joe-biden/joe-biden-right-preschool-benefits-college-attenda/
Lauren Boebert,"February 7, 2023",Joe Biden closed schools during the COVID-19 pandemic.,false,tweet,National; Education; Coronavirus,Amy Sherman,"February 8, 2023",https://www.politifact.com/factchecks/2023/feb/08/lauren-boebert/lauren-boebert-said-joe-biden-closed-schools-heres/
Tony Evers,"December 27, 2022","""During my time in office, we've increased per pupil aid by more than $300 per student. Now, our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”",half-true,Twitter,Children; Education; State Budget; Wisconsin,D.L. Davis,"February 7, 2023",https://www.politifact.com/factchecks/2023/feb/07/tony-evers/evers-links-more-per-pupil-aid-with-states-improve/
Marjorie Taylor Greene,"February 1, 2023",Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,false,House committee hearing,Congress; Education; Race and Ethnicity; Illinois; Coronavirus,Jeff Cercone,"February 3, 2023",https://www.politifact.com/factchecks/2023/feb/03/marjorie-taylor-greene/51-billion-for-one-schools-diversity-program-marjo/
Scott Walker,"January 5, 2023",“Let’s be clear: ‘drag shows’ are strip shows.”,false,Twitter,Education; Families; LGBTQ; Wisconsin,Laura Schulte,"January 25, 2023",https://www.politifact.com/factchecks/2023/jan/25/scott-walker/no-drag-shows-are-not-same-strip-shows/
Scott Perry,"January 8, 2023","""Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.""",false,ABC This Week interview,Education; Crime,Amy Sherman,"January 10, 2023",https://www.politifact.com/factchecks/2023/jan/10/scott-perry/fbi-doj-tagged-threats-against-school-officials-no/
Democratic Legislative Campaign Committee,"December 4, 2022",“The Virginia GOP education agenda (would) erase slavery from VA history.”,mostly-false,tweet.,Education; History; Virginia,Warren Fiske,"December 14, 2022",https://www.politifact.com/factchecks/2022/dec/14/democratic-legislative-campaign-committee/was-slavery-erased-virginias-school-curriculum/
Jill Underly,"October 24, 2022",“Wisconsin elementary school students buck national trends in ‘National Report Card’ release.”,mostly-false,News release,Children; Education; Wisconsin,Vanessa Swales,"December 5, 2022",https://www.politifact.com/factchecks/2022/dec/05/jill-underly/wisconsin-schools-chief-touts-silver-lining-scores/
Ron DeSantis,"October 24, 2022","It's not true that ""the United States was built on stolen land.""",pants-fire,gubernatorial debate,Education; History; Florida,Yacob Reyes,"November 3, 2022",https://www.politifact.com/factchecks/2022/nov/03/ron-desantis/why-ron-desantis-claim-about-stolen-land-false/
Kari Lake,"September 20, 2022","Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",false,tweet,Education; Arizona,Haley Tenore,"November 2, 2022",https://www.politifact.com/factchecks/2022/nov/02/kari-lake/no-katie-hobbs-did-not-vote-pull-pledge-allegiance/
Deidre DeJear,"October 19, 2022","""Kim Reynolds doesn’t think nurses are educated.""",false,tweet,Education; Iowa,Liam Halawith,"October 31, 2022",https://www.politifact.com/factchecks/2022/oct/31/deidre-dejear/dejear-social-media-post-says-reynolds-thinks-nurs/
Tom Horne,"September 14, 2022",“Kids are resistant to COVID as opposed to older people.”,half-true,debate,Education; Coronavirus; Arizona,Renee Romo,"October 28, 2022",https://www.politifact.com/factchecks/2022/oct/28/tom-horne/republican-arizona-school-chief-candidate-said-kid/
Joe Biden,"October 23, 2022",Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,false,forum with Now This,Education,Louis Jacobson,"October 25, 2022",https://www.politifact.com/factchecks/2022/oct/25/joe-biden/joe-bidens-false-claims-about-student-loan-forgive/
Tucker Carlson,"October 18, 2022","“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”",mostly-false,tweet,Education; Families; Health Care; Public Health; Pundits; Coronavirus,Madison Czopek,"October 20, 2022",https://www.politifact.com/factchecks/2022/oct/20/tucker-carlson/cdc-committees-vote-did-not-make-covid-19-vaccines/
Tony Evers,"October 6, 2022",Says “Tim Michels wants to defund public education — calling it ‘the definition of insanity’ to continue to fund public schools.”,mostly-false,Campaign email,Children; Education; Elections; Wisconsin,Madeline Heim,"October 17, 2022",https://www.politifact.com/factchecks/2022/oct/17/tony-evers/evers-campaign-base-claim-about-what-michels-wants/
Tim Michels,"September 4, 2022",Says Tony Evers is “a career politician.”,mostly-false,Twitter,Education; Elections; Wisconsin,Vanessa Swales,"October 7, 2022",https://www.politifact.com/factchecks/2022/oct/07/tim-michels/wisconsin-gov-evers-not-career-politician/
Marco Rubio,"September 14, 2022","Val Demings ""voted to allow transgender youth sports and teaching radical gender identity without parental consent.""",half-true,ad,Children; Education; Sports; Florida; Ad Watch,Tom Kertscher,"October 5, 2022",https://www.politifact.com/factchecks/2022/oct/05/marco-rubio/fact-checking-rubios-claim-demings-stance-transgen/
Instagram posts,"September 30, 2022","""Florida schools (were) still open during the start of the hurricane.""",false,post,National; Education; Weather; Facebook Fact-checks,Gabrielle Settles,"October 3, 2022",https://www.politifact.com/factchecks/2022/oct/03/instagram-posts/florida-public-schools-were-closed-during-hurrican/
Tom Horne,"August 21, 2022","Under Kathy Hoffman, “student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.”",mostly-false,tweet,Education; Arizona,Renee Romo,"September 19, 2022",https://www.politifact.com/factchecks/2022/sep/19/tom-horne/attack-school-chief-kathy-hoffman-lacks-key-testin/
Kathy Hoffman,"July 28, 2022","“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",true,tweet,Education; Arizona,Haley Tenore,"September 19, 2022",https://www.politifact.com/factchecks/2022/sep/19/kathy-hoffman/yes-kathy-hoffman-lobbied-hire-hundreds-counselors/
Elizabeth Warren,"August 28, 2022","""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",true,interview on CNN,National; Education,Jon Greenberg,"September 13, 2022",https://www.politifact.com/factchecks/2022/sep/13/elizabeth-warren/40-student-borrowers-lack-4-year-degree/
Facebook posts,"August 11, 2022","“With the combined salary of the 87,000 new IRS Agents ($81,456 average annual salary), you could put a police officer ($55,117) in every public school in the nation (97,568) and still have 31,007 police officers or $1,709,012,819 left over.”",mostly-false,Facebook post,Education; Public Safety; Facebook Fact-checks; Texas,Michael Majchrowicz,"September 8, 2022",https://www.politifact.com/factchecks/2022/sep/08/facebook-posts/inaccurate-data-fuels-false-conclusion-about-money/
