statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Donald Trump,"June 24, 2025","If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",mostly-false,White House fact sheet,Taxes,Louis Jacobson,"June 26, 2025",https://www.politifact.com/factchecks/2025/jun/26/donald-trump/take-home-pay-10000-families-big-beautiful-bill/
Josh Schoemann,"June 2, 2025","“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",mostly-true,Radio interview,Taxes; Illinois; Wisconsin,Hope Karnopp,"June 25, 2025",https://www.politifact.com/factchecks/2025/jun/25/josh-schoemann/gop-candidate-for-governor-says-income-taxes-are-l/
American Action Network,"June 4, 2025",The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,half-true,ad,Congress; Social Security; Taxes,Loreben Tuquero,"June 24, 2025",https://www.politifact.com/factchecks/2025/jun/24/american-action-network/reconciliation-bill-tax-cut-social-security/
Donald Trump,"June 5, 2025","If the “Big, Beautiful” tax and spending bill doesn’t pass, “there will be a 68% tax increase.”",false,Truth Social post,Taxes,Louis Jacobson,"June 10, 2025",https://www.politifact.com/factchecks/2025/jun/10/donald-trump/big-beautiful-bill-tax-increase-68-percent/
Kathy Hochul,"May 5, 2025",The state budget contains the largest middle class tax cut in 70 years.,false,television interview,State Budget; Taxes; New York,Jill Terreri Ramos,"June 1, 2025",https://www.politifact.com/factchecks/2025/jun/01/kathy-hochul/no-new-yorkers-are-not-getting-the-largest-middle/
Karoline Leavitt,"May 19, 2025",President Donald Trump’s tax and spending bill “does not add to the deficit.”,false,White House press briefing,Congress; Debt; Deficit; Federal Budget; Taxes,Louis Jacobson,"May 21, 2025",https://www.politifact.com/factchecks/2025/may/21/karoline-leavitt/donald-trump-reconciliation-bill-deficit/
Charles Schumer,"April 27, 2025","“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",mostly-true,"interview on CNN's ""State of the Union""",Trade; Taxes,Louis Jacobson,"May 5, 2025",https://www.politifact.com/factchecks/2025/may/05/charles-schumer/trump-tariffs-cost-average-family-schumer/
Michael Lawler,"March 21, 2025","“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",mostly-true,television interview,Federal Budget; Taxes; New York,Jill Terreri Ramos,"April 22, 2025",https://www.politifact.com/factchecks/2025/apr/22/michael-lawler/putting-claim-about-largest-tax-increase-in-contex/
Karoline Leavitt,"March 11, 2025",“Tariffs are a tax cut for the American people.”,false,White House press briefing,Economy; Trade; Taxes,Louis Jacobson,"March 13, 2025",https://www.politifact.com/factchecks/2025/mar/13/karoline-leavitt/karoline-leavitt-says-tariffs-are-a-tax-cut-econom/
Cavalier Johnson,"January 19, 2025","“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",true,TV interview,Education; Legal Issues; Taxes; Wisconsin,D.L. Davis,"March 3, 2025",https://www.politifact.com/factchecks/2025/mar/03/cavalier-johnson/mps-does-indeed-have-a-larger-tax-levy-than-the-ci/
Social Media,"February 24, 2025","Maine Gov. Janet Mills said, “If (President) Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government.”",false,post,Taxes; Facebook Fact-checks,Sara Swann,"February 28, 2025",https://www.politifact.com/factchecks/2025/feb/28/social-media/did-maine-gov-janet-mills-tell-trump-no-federal-ta/
Patty Murray,"February 20, 2025",“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,half-true,Senate floor speech,Corrections and Updates; Federal Budget; Taxes,Louis Jacobson,"February 25, 2025",https://www.politifact.com/factchecks/2025/feb/25/patty-murray/are-republican-tax-cuts-the-single-biggest-driver/
Adam Schiff,"January 26, 2025","“As a Californian, we have given more to the recovery of other states than any other state in the union.”",mostly-true,interview on NBC's Meet the Press,National; Natural Disasters; Taxes,Louis Jacobson,"January 31, 2025",https://www.politifact.com/factchecks/2025/jan/31/adam-schiff/fact-checking-sen-adam-schiffs-claim-about-califor/
Facebook posts,"January 22, 2025","President Donald Trump signed an executive order to replace the IRS with the External Revenue Service, eliminating tax returns and income tax.",false,Facebook post,Taxes; Facebook Fact-checks,Caleb McCullough,"January 27, 2025",https://www.politifact.com/factchecks/2025/jan/27/facebook-posts/no-trump-didnt-sign-an-executive-order-to-eliminat/
Social Media,"January 18, 2025",“Trump passed a new law that whoever is paying the child support will get to declare those children on their taxes.”,false,social media posts,Children; Taxes; Facebook Fact-checks,Sofia Ahmed,"January 21, 2025",https://www.politifact.com/factchecks/2025/jan/21/social-media/viral-rumor-falsely-claims-donald-trump-changed-ta/
Instagram posts,"November 9, 2024",Fox News reported California Gov. Gavin Newsom “will withhold” California’s federal income tax.,false,Instagram post,Taxes; California; Facebook Fact-checks,Ciara O'Rourke,"November 20, 2024",https://www.politifact.com/factchecks/2024/nov/20/instagram-posts/no-fox-news-didnt-report-gavin-newsom-is-withholdi/
Tammy Baldwin,"October 11, 2024",Says opponent Eric Hovde “supports a $4 trillion tax plan that would disproportionately advantage the well-off and profitable corporations”,mostly-true,Interview,Elections; Taxes; Wisconsin; 2024 Senate Elections,Laura Schulte,"October 24, 2024",https://www.politifact.com/factchecks/2024/oct/24/tammy-baldwin/baldwin-claim-that-hovde-supports-tax-plan-that-be/
Donald Trump,"October 17, 2024",Vice President Kamala Harris “wants struggling seniors to pay more Social Security taxes while she gives Medicare and Social Security to illegals.”,false,ad,Immigration; Medicare; Social Security; Taxes,Louis Jacobson,"October 23, 2024",https://www.politifact.com/factchecks/2024/oct/23/donald-trump/donald-trump-ad-distorts-kamala-harris-stance-on-s/
Ruben Gallego,"October 9, 2024",Arizona U.S. Senate candidate Kari Lake “was against” the child tax credit expansion “when the bill was on the floor.”,mostly-false,debate,Children; Taxes; 2024 Senate Elections,Mia Osmonbekov,"October 18, 2024",https://www.politifact.com/factchecks/2024/oct/18/ruben-gallego/ruben-gallego-misleads-on-kari-lake-opposing-the-c/
Donald Trump,"October 15, 2024","Vice President Kamala Harris' plan “will raise taxes for the typical American family by an estimated $3,000.""",false,rally,Taxes,Louis Jacobson,"October 17, 2024",https://www.politifact.com/factchecks/2024/oct/17/donald-trump/donald-trump-says-kamala-harris-plan-would-hike-ta/
Kamala Harris,"October 7, 2024","""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""",mostly-false,"interview on ""60 Minutes""",Workers; Taxes,Louis Jacobson,"October 10, 2024",https://www.politifact.com/factchecks/2024/oct/10/kamala-harris/kamala-harris-off-base-on-tax-rate-comparison-of-b/
Kelly Ayotte,"September 12, 2024","In Manchester, N.H., gubernatorial candidate Joyce Craig “pushed for a city sales tax. Then, Joyce Craig overrode the tax cap and tried to raise taxes six times.”",half-true,ad,New Hampshire; City Budget; City Government; Taxes,Louis Jacobson,"October 7, 2024",https://www.politifact.com/factchecks/2024/oct/07/kelly-ayotte/nh-governors-race-kelly-ayotte-attack-on-joyce-cra/
Wisco Project,"September 16, 2024","“If you make less than $100,000, Trump is about to raise your taxes. Currently, you’re taxed at 10% and then 12%. He would raise that to a flat rate of 15%.”",false,Social media ads,Elections; Taxes; Wisconsin; 2024 Senate Elections,Madeline Heim,"September 20, 2024",https://www.politifact.com/factchecks/2024/sep/20/wisco-project/trump-has-not-said-hell-raise-taxes-on-people-maki/
One Nation,"August 23, 2024","“Sen. Jacky Rosen voted to increase taxes on families making less than $75,000 a year.”",mostly-false,ad,Nevada; Taxes; 2024 Senate Elections,Seth A. Richardson,"September 9, 2024",https://www.politifact.com/factchecks/2024/sep/09/one-nation/conservative-group-misleads-on-jacky-rosens-inflat/
Facebook posts,"August 25, 2024",Kamala Harris’ “plan to tax unrecognized Capital Gains mean(s) if your house goes up in value you will have to pay that Tax Even if you don’t sell your House!”,mostly-false,post,Elections; Taxes; Facebook Fact-checks,Sara Swann,"August 30, 2024",https://www.politifact.com/factchecks/2024/aug/30/facebook-posts/harris-backs-an-unrealized-capital-gains-tax-it-wo/
Kamala Harris,"August 22, 2024","Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",half-true,her acceptance speech at the Democratic National Convention,Economy; Trade; Taxes,Louis Jacobson,"August 30, 2024",https://www.politifact.com/factchecks/2024/aug/30/kamala-harris/would-donald-trumps-proposed-tariffs-hit-typical-f/
Donald Trump,"August 23, 2024","“Kamala cast the tiebreaking vote to hire 87,000 new IRS agents to go after your tip income.”",false,speech,National; Nevada; Elections; Poverty; Taxes,Amy Sherman,"August 28, 2024",https://www.politifact.com/factchecks/2024/aug/28/donald-trump/fact-check-trump-falsely-said-harris-voted-to-hire/
Sam Brown,"August 9, 2024",Jacky Rosen “said ending taxes on tips would ‘hurt working Nevada families.’”,false,X post,Nevada; Taxes; 2024 Senate Elections,Seth A. Richardson,"August 23, 2024",https://www.politifact.com/factchecks/2024/aug/23/sam-brown/no-jacky-rosen-didnt-say-ending-taxes-on-tips-woul/
JD Vance,"July 28, 2024",Vice President Kamala Harris is “calling for an end to the child tax credit.”,pants-fire,interview,Children; Elections; Women; Taxes,Samantha Putterman,"July 30, 2024",https://www.politifact.com/factchecks/2024/jul/30/jd-vance/kamala-harris-has-worked-to-expand-the-child-tax-c/
Joe Biden,"May 16, 2024","""The Trump administration handed out taxpayer dollars to a foreign company. Hundreds of homes and farms were bulldozed, and over $500 million in taxpayer dollars were wasted preparing for Foxconn.""",half-true,News release,National; Corporations; Economy; Elections; Taxes; Wisconsin,D.L. Davis,"July 13, 2024",https://www.politifact.com/factchecks/2024/jul/13/joe-biden/biden-campaign-hits-and-misses-with-trump-and-foxc/
Ritchie Torres,"May 23, 2024",“The loss of SALT deductibility cost our state $15 billion in revenue. So New Yorkers are paying more in taxes and receiving fewer services because of Donald Trump.”,mostly-false,television interview,Taxes; New York,Jill Terreri Ramos,"June 21, 2024",https://www.politifact.com/factchecks/2024/jun/21/ritchie-torres/impact-of-the-salt-cap-to-new-yorkers-is-overstate/
Donald Trump,"June 2, 2024",Joe Biden wants “to quadruple your taxes.”,false,"interview on ""Fox & Friends""",Taxes,Louis Jacobson,"June 4, 2024",https://www.politifact.com/factchecks/2024/jun/04/donald-trump/donald-trumps-false-claim-that-joe-biden-wants-qua/
Jared Polis,"May 15, 2024","Tariffs are a “direct, regressive tax on Americans” and President Joe Biden’s new tariffs on Chinese goods will “hit every family.”",half-true,X post,China; Economy; Energy; Taxes,Louis Jacobson,"May 17, 2024",https://www.politifact.com/factchecks/2024/may/17/jared-polis/will-joe-bidens-new-china-tariffs-hit-every-family/
Joe Biden,"January 25, 2024","""There are a thousand billionaires now and you know what their average tax rate is? 8%.""",false,Public appearance,Income; Wealth; Taxes; Wisconsin,Sophia Voight,"January 26, 2024",https://www.politifact.com/factchecks/2024/jan/26/joe-biden/president-joe-biden-distorts-income-tax-rates-for/
Nikki Haley,"January 17, 2024","Donald Trump “proposed when he was president” that “he wanted to raise the gas tax up to 25 cents.""",mostly-false,rally,New Hampshire; Infrastructure; Taxes,Louis Jacobson,"January 19, 2024",https://www.politifact.com/factchecks/2024/jan/19/nikki-haley/donald-trump-weighed-a-gas-tax-hike-as-president-r/
Julian Bradley,"December 8, 2023","""Wisconsin Republicans have passed multiple billion dollar middle-class tax cuts this year, but each time we have, Governor Tony Evers has vetoed the relief.""",mostly-true,"X, formerly Twitter",State Budget; Taxes; Wisconsin,Hope Karnopp,"December 19, 2023",https://www.politifact.com/factchecks/2023/dec/19/julian-bradley/has-wisconsins-governor-vetoed-multiple-middle-cla/
Fight Right Inc.,"December 6, 2023",Nikki Haley “raised taxes.”,mostly-false,TV ad,National; Elections; Taxes,Amy Sherman,"December 13, 2023",https://www.politifact.com/factchecks/2023/dec/13/fight-right-inc/campaign-ad-from-desantis-pac-says-nikki-haley-rai/
Alex Mooney,"November 2, 2023","Jim Justice “broke his pledge, raised the gas tax.”",false,post on X,West Virginia; State Budget; Taxes,Ayden Norcross,"November 21, 2023",https://www.politifact.com/factchecks/2023/nov/21/alex-mooney/did-jim-justice-break-his-pledge-not-to-hike-taxes/
Melissa Agard,"July 27, 2023","Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",true,"X, formerly Twitter",National; Food; Taxes; Wisconsin,Sophia Voight,"November 3, 2023",https://www.politifact.com/factchecks/2023/nov/03/melissa-agard/its-true-you-dont-have-to-pay-taxes-on-kit-kat-bar/
Americans for Prosperity,"July 17, 2023",“The Inflation Reduction Act led to higher taxes.”,mostly-false,Facebook ad,West Virginia; Taxes,Anthony Starkey,"October 19, 2023",https://www.politifact.com/factchecks/2023/oct/19/americans-prosperity/fact-checking-how-much-the-inflation-reduction-act/
Tricia Cotham,"September 25, 2023",The North Carolina state budget includes “the largest cut in our personal income tax that we’ve ever seen.”,false,interview on WBT-FM,North Carolina; Taxes,Paul Specht,"October 9, 2023",https://www.politifact.com/factchecks/2023/oct/09/tricia-cotham/cotham-falsely-says-nc-budget-includes-largest-eve/
Nick LaLota,"March 29, 2023","“For every dollar in federal taxes my constituents pay, we get a mere 93 cents back.”",mostly-true,press release,Federal Budget; State Budget; States; Taxes; New York,Cameron Carr,"June 19, 2023",https://www.politifact.com/factchecks/2023/jun/19/nick-lalota/except-during-pandemic-new-yorkers-have-gotten-les/
MAGA Inc,"May 12, 2023",“In Congress Ron DeSantis pushed a 23% national sales tax.”,half-true,TV ad,National; Taxes; Florida,Amy Sherman,"May 16, 2023",https://www.politifact.com/factchecks/2023/may/16/maga-inc/pro-trump-pac-says-desantis-pushed-23-national-sal/
Robin Vos,"March 9, 2023","“When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",true,Podcast,Baseball; Sports; Taxes; Wisconsin,D.L. Davis,"May 12, 2023",https://www.politifact.com/factchecks/2023/may/12/robin-vos/yes-wisconsins-tax-coffers-would-take-a-hit-if-bre/
Ron Johnson,"April 24, 2023",Says Social Security is a “legal Ponzi scheme.”,mostly-false,Public statement,National; Legal Issues; Social Security; Taxes; Wisconsin,Vanessa Swales,"May 5, 2023",https://www.politifact.com/factchecks/2023/may/05/ron-johnson/sen-ron-johnson-again-says-social-security-is-a-po/
Ron DeSantis,"April 13, 2023",Florida has “the second lowest tax burden per capita in the United States.”,mostly-true,speech,Economy; Taxes; Florida,Maria Ramirez Uribe,"April 19, 2023",https://www.politifact.com/factchecks/2023/apr/19/ron-desantis/ron-desantis-is-right-florida-has-one-of-the-count/
Joe Biden,"February 15, 2023","The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""",false,speech,Workers; Taxes,Louis Jacobson,"February 20, 2023",https://www.politifact.com/factchecks/2023/feb/20/joe-biden/in-push-for-billionaire-tax-joe-biden-gets-his-fig/
Facebook posts,"February 7, 2023","""In the month since Republicans took the House majority,"" they are trying to ""impose a 30% tax on everything.""",mostly-false,post on Facebook,Congress; Taxes; Facebook Fact-checks,Tom Kertscher,"February 10, 2023",https://www.politifact.com/factchecks/2023/feb/10/facebook-posts/gop-wants-a-30-tax-on-everything-that-ignores-taxe/
Rick Scott,"February 7, 2023",President Joe Biden “cheated on his taxes and got away with it.”,false,ad,National; Congress; Taxes; Florida,Louis Jacobson,"February 10, 2023",https://www.politifact.com/factchecks/2023/feb/10/rick-scott/is-joe-biden-a-tax-cheat-as-rick-scott-says-thats/
Mike Palicz,"February 7, 2023","The 87,000 new IRS agents who were supposed to “only target the rich” are now “coming after waitresses’ tips.”",mostly-false,tweet,Workers; Taxes; Facebook Fact-checks,Loreben Tuquero,"February 10, 2023",https://www.politifact.com/factchecks/2023/feb/10/mike-palicz/check-please-are-irs-agents-coming-for-servers-tip/
Alexandria Ocasio-Cortez,"January 27, 2023","“The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.”",false,interview with reporters,Debt; Deficit; Federal Budget; Taxes,Louis Jacobson,"February 1, 2023",https://www.politifact.com/factchecks/2023/feb/01/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-that-trump-tax-cuts/
Glenn Youngkin,"January 23, 2023",Virginia tax receipts “in just the last four years alone have grown 50%.”,mostly-true,speech.,Economy; State Budget; Taxes; Virginia,Warren Fiske,"January 25, 2023",https://www.politifact.com/factchecks/2023/jan/25/glenn-youngkin/youngkin-near-mark-tax-growth-claim/
Eric Adams,"January 7, 2023",“Fifty-one percent of our taxes are paid by 2% of New Yorkers.”,mostly-true,radio interview,City Budget; Taxes; New York,Jill Terreri Ramos,"January 24, 2023",https://www.politifact.com/factchecks/2023/jan/24/eric-adams/claim-about-wealthy-residents-and-taxes-new-york-c/
Facebook posts,"January 6, 2023","“Americans who worked through the pandemic are being paid up to $26,000 by qualifying for the Employee Retention Credit.”",false,video shared on Facebook,Taxes; Facebook Fact-checks; Coronavirus,Madison Czopek,"January 17, 2023",https://www.politifact.com/factchecks/2023/jan/17/facebook-posts/workers-arent-being-paid-up-to-26000-because-of-a/
Citizens for Sanity,"November 2, 2022","President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",pants-fire,ad,Children; Federal Budget; Foreign Policy; Taxes,Louis Jacobson,"November 3, 2022",https://www.politifact.com/factchecks/2022/nov/03/citizens-sanity/ad-comparing-spending-ukraine-us-children-ridiculo/
Senate Leadership Fund,"October 11, 2022","Cheri Beasley “backs tax hikes — even on families making under $75,000.”",mostly-false,political ad,North Carolina; Taxes,Paul Specht,"October 31, 2022",https://www.politifact.com/factchecks/2022/oct/31/senate-leadership-fund/gop-group-exaggerates-effect-inflation-reduction-a/
Marco Rubio,"October 18, 2022","Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",mostly-false,campaign ad,Congress; Taxes; Florida,Yacob Reyes,"October 25, 2022",https://www.politifact.com/factchecks/2022/oct/25/marco-rubio/marco-rubio-lobs-misleading-attack-val-demings/
Citizens Against Government Waste,"August 31, 2022","“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",mostly-false,Facebook ad,West Virginia; Environment; Animals; Federal Budget; Taxes,Jessica Riley,"October 25, 2022",https://www.politifact.com/factchecks/2022/oct/25/citizens-against-government-waste/how-much-inflation-reduction-act-goes-toward-trees/
Joe Manchin,"August 28, 2022",“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,mostly-true,tweet,West Virginia; Taxes,Amanda Boring,"October 18, 2022",https://www.politifact.com/factchecks/2022/oct/18/joe-manchin/fact-checking-joe-manchin-targeting-irs-audits/
Ron Johnson,"September 26, 2022",Says Mandela Barnes “supported a 20% increase in the gas tax.”,half-true,TV ad,Elections; Gas Prices; Taxes; Wisconsin,Laura Schulte,"October 6, 2022",https://www.politifact.com/factchecks/2022/oct/06/ron-johnson/johnson-leaves-out-context-claim-barnes-supported-/
Instagram posts,"August 21, 2022","“America now has a government that forbids border agents from using deadly force, but is training IRS agents to use SWAT-team tactics on law-abiding citizens.”",false,Instagram post,Immigration; Homeland Security; Taxes,Jeff Cercone,"September 30, 2022",https://www.politifact.com/factchecks/2022/sep/30/instagram-posts/instagram-post-gets-facts-wrong-about-use-deadly-f/
Raphael Warnock,"August 29, 2022",The child tax credit passed under President Joe Biden “has helped 97% of the families with children who are living in poverty.”,half-true,speech,Children; Families; Poverty; Taxes,Louis Jacobson,"September 7, 2022",https://www.politifact.com/factchecks/2022/sep/07/raphael-warnock/raphael-warnock-exaggerates-success-rate-reaching-/
Charlie Crist,"August 25, 2022","Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",mostly-false,tweet,Corporations; Taxes; Florida,Yacob Reyes,"September 2, 2022",https://www.politifact.com/factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/
Herschel Walker,"August 22, 2022","Joe Biden and Raphael Warnock  ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",half-true,tweet,Georgia; Environment; Climate Change; Federal Budget; Natural Disasters; Public Health; Taxes,Tori Gantz,"September 1, 2022",https://www.politifact.com/factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/
Charlie Kirk,"August 24, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,half-true,Tweet,Education; Taxes,Madison Czopek,"August 31, 2022",https://www.politifact.com/factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/
Joni Ernst,"August 24, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",half-true,newsletter,Taxes; Iowa,Lyle Muller,"August 31, 2022",https://www.politifact.com/factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/
Facebook posts,"August 25, 2022",Student debt relief is taxable by the Internal Revenue Service.,false,post,Debt; Taxes; Facebook Fact-checks,Jeff Cercone,"August 30, 2022",https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/
Deidre DeJear,"August 13, 2022",“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,mostly-false,remarks at the Iowa State Fair,State Budget; Taxes; Iowa,Lyle Muller,"August 29, 2022",https://www.politifact.com/factchecks/2022/aug/29/deidre-dejear/differences-exist-how-spend-it-state-budget-surplu/
Ron Johnson,"August 7, 2022","""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",mostly-true,News release,National; Economy; Workers; Taxes; Wisconsin,D.L. Davis,"August 25, 2022",https://www.politifact.com/factchecks/2022/aug/25/ron-johnson/johnsons-claim-irs-audits-mostly-low-wage-earners-/
Ben Cline,"August 12, 2022","A new Democratic law “will make the IRS workforce larger than the Pentagon, FBI, State Department, and Customs and Border Patrol, combined.”",mostly-false,statement.,Congress; Federal Budget; Taxes; Virginia,Warren Fiske,"August 24, 2022",https://www.politifact.com/factchecks/2022/aug/24/ben-cline/cline-embellishes-potential-irs-expansion/
Instagram posts,"August 17, 2022","""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",false,Instagram post,National; Crime; Taxes; Facebook Fact-checks,Michael Majchrowicz,"August 23, 2022",https://www.politifact.com/factchecks/2022/aug/23/instagram-posts/no-number-new-irs-workers-wont-surpass-number-poli/
Tom Cotton,"August 3, 2022","The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""",mostly-false,ad,Energy; Federal Budget; Taxes; Ad Watch,Tom Kertscher,"August 23, 2022",https://www.politifact.com/factchecks/2022/aug/23/tom-cotton/tom-cotton-misleads-how-inflation-reduction-act-wi/
Instagram posts,"August 21, 2022",“Congress just voted to exempt themselves from IRS auditing of their personal finances.”,false,Instagram post,Congress; Taxes; Facebook Fact-checks,Sara Swann,"August 23, 2022",https://www.politifact.com/factchecks/2022/aug/23/instagram-posts/claim-congress-members-exempted-themselves-irs-aud/
Facebook posts,"August 16, 2022","""The IRS is about to double in size, with 87,000 new armed agents and an additional $80 billion in order to primarily enhance IRS enforcement and operations.”",mostly-false,Facebook post,Congress; Taxes; Facebook Fact-checks,Jeff Cercone,"August 18, 2022",https://www.politifact.com/factchecks/2022/aug/18/facebook-posts/video-misleads-about-size-irs-audits-and-armed-age/
Rick Scott,"August 16, 2022","The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",mostly-false,press release,National; Congress; Federal Budget; Taxes,Maria Ramirez Uribe,"August 17, 2022",https://www.politifact.com/factchecks/2022/aug/17/rick-scott/rick-scott-overstates-potential-hiring-surge-irs/
Tim Scott,"August 10, 2022","“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",false,interview on Fox News,National; Taxes,Jon Greenberg,"August 17, 2022",https://www.politifact.com/factchecks/2022/aug/17/tim-scott/tim-scott-mangles-false-gop-talking-point-irs-houn/
