statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
TikTok posts,"June 28, 2025",President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,false,TikTok post,Immigration; Border Security,Maria Briceño,"July 2, 2025",https://www.politifact.com/factchecks/2025/jul/02/tiktok-posts/Trump-closing-border-executive-order-july/
TikTok posts,"June 24, 2025","A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",false,TikTok post,Immigration,Maria Briceño,"July 1, 2025",https://www.politifact.com/factchecks/2025/jul/01/tiktok-posts/permanent-residency-law-community-recognition/
Occupy Democrats,"June 11, 2025","""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",mostly-true,Facebook post,Immigration; Taxes,Ella Moore,"June 27, 2025",https://www.politifact.com/factchecks/2025/jun/27/occupy-democrats/do-people-in-the-us-illegally-pay-more-taxes-than/
Social Media,"June 24, 2025",“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,pants-fire,X post,Immigration; National,Gabrielle Lazor,"June 26, 2025",https://www.politifact.com/factchecks/2025/jun/26/social-media/la-tow-truck-drivers-are-not-towing-ice-vehicles-t/
Rick Scott,"June 8, 2025","Four million more people live in Florida, but New York gets $20 billion more for Medicaid, because it covers illegal immigrants and adults without chronic illness.",mostly-false,television interview,Immigration; Health Care; Medicaid; State Budget; Florida; New York,Jill Terreri Ramos,"June 22, 2025",https://www.politifact.com/factchecks/2025/jun/22/rick-scott/federal-funds-are-not-used-to-enroll-undocumented/
Instagram posts,"June 6, 2025",Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,false,video,Immigration; Education,Ella Moore,"June 13, 2025",https://www.politifact.com/factchecks/2025/jun/13/instagram-posts/video-los-angeles-ICE-raids-school/
TikTok posts,"June 9, 2025",Craigslist ad was “recruiting people for LA ‘protests.’”,false,video,Immigration; California,Maria Briceño,"June 12, 2025",https://www.politifact.com/factchecks/2025/jun/12/tiktok-posts/craigslist-ad-wasnt-recruiting-paid-protesters-in/
Facebook posts,"June 8, 2025",“BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles” 2025 protests.,false,Facebook post,Immigration; California,Maria Briceño,"June 9, 2025",https://www.politifact.com/factchecks/2025/jun/09/facebook-posts/maxine-waters-citizenship-protesters-LA/
Donald Trump,"May 25, 2025",Harvard University “refuse(s) to tell us” who its international students are.,false,press gaggle,Immigration; National; Education,Maria Ramirez Uribe,"May 28, 2025",https://www.politifact.com/factchecks/2025/may/28/donald-trump/Harvard-University-international-students-report/
Stephen Miller,"May 9, 2025","The Immigration and Nationality Act “stripped Article III courts, that's the judicial branch, of jurisdiction over immigration cases.”",false,interview,Immigration; National; Legal Issues,Maria Ramirez Uribe,"May 15, 2025",https://www.politifact.com/factchecks/2025/may/15/stephen-miller/trump-courts-jurisdiction-immigration-Temporary-Pr/
Social Media,"April 30, 2025","“In 1996, Congress specifically authorized the executive branch to conduct non-judicial deportations NOT SUBJECT TO DUE PROCESS.”",false,Facebook post,Immigration; Border Security; Legal Issues,Maria Ramirez Uribe,"May 12, 2025",https://www.politifact.com/factchecks/2025/may/12/social-media/Immigrants-due-process-rights-Bill-Clinton-1996/
Donald Trump,"April 29, 2025","“If people come into our country illegally, there’s a different standard” for due process.",false,interview,Immigration; National; Legal Issues; Supreme Court,Maria Ramirez Uribe,"May 8, 2025",https://www.politifact.com/factchecks/2025/may/08/donald-trump/Donald-Trump-immigrants-illegal-due-process-rights/
Eric Swalwell,"April 30, 2025","""Republicans just voted in the House Judiciary Committee to allow Trump to DEPORT U.S. citizens to a foreign country.""",mostly-false,post on X,Immigration; Legal Issues,Louis Jacobson,"May 6, 2025",https://www.politifact.com/factchecks/2025/may/06/eric-swalwell/democrats-mislead-judiciary-vote-deport-citizens/
Donald Trump,"April 29, 2025",Kilmar Armando Abrego Garcia “had ‘MS-13’ on his knuckles tattooed. … He had ‘MS’ as clear as you can be. Not 'interpreted.’”,pants-fire,interview with ABC News,Immigration; Criminal Justice,Louis Jacobson,"April 30, 2025",https://www.politifact.com/factchecks/2025/apr/30/donald-trump/trump-abrego-garcia-hand-tattoos-abc-news/
X posts,"April 13, 2025","Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”",false,post on X,Immigration; Elections; Arizona,Madison Czopek,"April 18, 2025",https://www.politifact.com/factchecks/2025/apr/18/tweets/Arizona-settlement-remove-noncitizen-voter-rolls/
Byron Donalds,"April 10, 2025","Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",mostly-false,NewsNation interview,Immigration; Elections,Grace Abels,"April 18, 2025",https://www.politifact.com/factchecks/2025/apr/18/byron-donalds/can-voters-use-real-id-to-vote-under-save-act/
JD Vance,"April 1, 2025",Kilmar Armando Abrego Garcia “was a convicted MS-13 gang member.”,false,post on X,Immigration; Criminal Justice; Legal Issues,Louis Jacobson,"April 2, 2025",https://www.politifact.com/factchecks/2025/apr/02/jd-vance/jd-vance-falsely-says-maryland-man-deported-to/
Elon Musk,"February 20, 2025",President Joe Biden’s immigration policy was “a giant voter importation scam.”,pants-fire,speech at CPAC,Immigration; National; Elections,Maria Ramirez Uribe,"February 21, 2025",https://www.politifact.com/factchecks/2025/feb/21/elon-musk/fact-check-elon-musk-cpac-bidens-immigration-polic/
Social Media,"February 18, 2025",“An ICE minivan was reportedly set on fire in Philadelphia.”,false,social media posts,Immigration; Fires; Transportation; Pennsylvania,Sofia Ahmed,"February 19, 2025",https://www.politifact.com/factchecks/2025/feb/19/social-media/an-ice-van-in-philadelphia-wasnt-intentionally-set/
TikTok posts,"February 11, 2025","Under the SAVE Act, “if you are a woman that has changed your name from your birth certificate, let’s say through marriage … you are no longer eligible to vote.”",mostly-false,TikTok post,Immigration; Voter ID Laws,Caleb McCullough,"February 17, 2025",https://www.politifact.com/factchecks/2025/feb/17/tiktok-posts/save-act-would-make-it-harder-not-impossible-for-m/
Elon Musk,"February 10, 2025",“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”,false,X post,Immigration; National; Congress; DOGE,Maria Ramirez Uribe,"February 14, 2025",https://www.politifact.com/factchecks/2025/feb/14/elon-musk/fema-did-not-give-disaster-relief-money-to-new-yor/
Instagram posts,"February 7, 2025",Coca-Cola “sells out its own workers to ICE.”,false,Instagram post,Immigration; Corporations; Facebook Fact-checks,Maria Briceño,"February 13, 2025",https://www.politifact.com/factchecks/2025/feb/13/instagram-posts/the-claim-that-coca-cola-turned-over-its-own-worke/
Instagram posts,"February 2, 2025",Ring is “alerting people about (Immigration and Customs Enforcement) raids.”,false,Instagram post,Immigration; Facebook Fact-checks,Caleb McCullough,"February 10, 2025",https://www.politifact.com/factchecks/2025/feb/10/instagram-posts/no-ring-is-not-alerting-customers-about-immigratio/
Kristi Noem,"February 2, 2025","At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",half-true,interview,Immigration; National; Military,Maria Ramirez Uribe,"February 9, 2025",https://www.politifact.com/factchecks/2025/feb/09/kristi-noem/us-has-detained-migrants-at-guantanamo-bay-before/
Threads posts,"January 28, 2025",“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”,false,Threads post,Immigration; Facebook Fact-checks,Ciara O'Rourke,"February 7, 2025",https://www.politifact.com/factchecks/2025/feb/07/threads-posts/no-elon-musk-didnt-say-italians-japanese-should-st/
Randy Fine,"January 28, 2025",Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,mostly-false,senate special session,Immigration; Education; Florida,Samantha Putterman,"February 6, 2025",https://www.politifact.com/factchecks/2025/feb/06/randy-fine/florida-sen-randy-fines-shaky-claim-that-immigrant/
Threads posts,"January 29, 2025",“ICE just announced it is pausing the hotline where people can call to report undocumented immigrants because 90% of the calls are from people reporting Elon Musk.”,false,Threads post,Immigration; Facebook Fact-checks,Ciara O'Rourke,"January 31, 2025",https://www.politifact.com/factchecks/2025/jan/31/threads-posts/ice-tip-line-not-paused-because-of-reports-about-m/
Threads posts,"January 21, 2025",“The removal of birthright citizenship only applies to the children of those that are here ILLEGALLY.”,false,post on Threads,Immigration; Constitutional Amendments; Legal Issues,Madison Czopek,"January 24, 2025",https://www.politifact.com/factchecks/2025/jan/24/threads-posts/trumps-anti-birthright-citizenship-effort-doesnt-a/
Facebook posts,"January 21, 2025",“FEMA has been directed back to North Carolina with $2 billion in emergency funds: ‘We transferred it from the programs that fund welfare for illegals. They don’t be needing it.’”,false,Facebook post,Immigration; Natural Disasters; North Carolina; Facebook Fact-checks,Ciara O'Rourke,"January 24, 2025",https://www.politifact.com/factchecks/2025/jan/24/facebook-posts/claims-about-fema-north-carolina-and-2-billion-ear/
Instagram posts,"January 20, 2025",“ICE has released the tip hotline to turn in illegal immigrants. They paying $750 for each illegal immigrant.”,false,post,Immigration; Border Security; Facebook Fact-checks,Maria Briceño,"January 23, 2025",https://www.politifact.com/factchecks/2025/jan/23/instagram-posts/no-us-immigration-officials-are-not-paying-750-for/
Threads posts,"January 20, 2025",Second lady Usha Vance “will have her citizenship revoked if (President Donald) Trump signs his executive order banning birthright citizenship.”,false,post,Immigration; Elections; Facebook Fact-checks,Sara Swann,"January 21, 2025",https://www.politifact.com/factchecks/2025/jan/21/threads-posts/president-trumps-birthright-citizenship-order-wont/
Donald Trump,"January 20, 2025",The United States is the only country with unrestricted birthright citizenship.,false,remarks,Immigration; National; Legal Issues,Samantha Putterman,"January 21, 2025",https://www.politifact.com/factchecks/2025/jan/21/donald-trump/donald-trumps-false-claim-that-the-us-is-the-only/
Bernie Sanders,"January 2, 2025","H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",mostly-false,statement to the media,Immigration; National; Congress; Economy; Education; Labor,Amy Sherman,"January 9, 2025",https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/
Charlie Kirk,"December 8, 2024",The 14th Amendment “has never been challenged at SCOTUS.”,false,post on X,Immigration; Constitutional Amendments; Supreme Court; PunditFact,Madison Czopek,"December 12, 2024",https://www.politifact.com/factchecks/2024/dec/12/charlie-kirk/in-1898-the-supreme-court-ruled-that-the-14th-amen/
Threads posts,"December 8, 2024",President-elect Donald Trump’s “plan to end birthright citizenship would mean (four) of his children wouldn't be considered US citizens.”,false,Threads post,Immigration; National; Facebook Fact-checks,Jeff Cercone,"December 10, 2024",https://www.politifact.com/factchecks/2024/dec/10/threads-posts/birthright-citizenship-didnt-apply-to-trumps-child/
Instagram posts,"December 2, 2024","""President Trump has announced a plan to prosecute the Biden administration for the 325,000 kids that went ‘missing’ into human trafficking & sex slavery during their open border policies.”",false,Instagram post,Immigration; Children,Maria Briceño,"December 5, 2024",https://www.politifact.com/factchecks/2024/dec/05/instagram-posts/trump-didnt-say-hell-prosecute-biden-officials-for/
Threads posts,"November 20, 2024","“Texas just gifted Trump 355,000 acres for deportation camps.”",false,Threads post,Immigration; Facebook Fact-checks; Texas,Loreben Tuquero,"November 27, 2024",https://www.politifact.com/factchecks/2024/nov/27/threads-posts/did-texas-gift-355000-acres-of-land-to-trump-for-d/
Elon Musk,"November 13, 2024","Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,X post,Immigration; Elections; Pennsylvania; 2024 Senate Elections,Caleb McCullough,"November 19, 2024",https://www.politifact.com/factchecks/2024/nov/19/elon-musk/no-democrat-bob-casey-is-not-asking-to-count-nonci/
Nancy Pelosi,"November 9, 2024",“Fewer people came in under President Biden than came under Donald Trump.”,false,interview,Immigration; National; Border Security,Maria Ramirez Uribe,"November 15, 2024",https://www.politifact.com/factchecks/2024/nov/15/nancy-pelosi/nancy-pelosis-wrong-comparison-about-illegal-immig/
Instagram posts,"November 8, 2024","""BREAKING: Zillow CEO just said on CNBC Trump's deportation plan will help with housing affordability.”",false,Instagram post,Immigration; National; Housing,Samantha Putterman,"November 12, 2024",https://www.politifact.com/factchecks/2024/nov/12/instagram-posts/no-zillows-ceo-didnt-say-trumps-deportation-plan-w/
Threads posts,"October 21, 2024",The Biden-Harris administration “brought over” 10 million migrants who got 9 million jobs.,false,Threads post,Immigration; Elections; Jobs,Sofia Ahmed,"October 25, 2024",https://www.politifact.com/factchecks/2024/oct/25/threads-posts/no-immigrants-who-entered-the-us-under-bidens-admi/
Kamala Harris,"October 23, 2024","""As of today, we have cut the flow of immigration by over half.""",true,CNN town hall,Immigration,Louis Jacobson,"October 24, 2024",https://www.politifact.com/factchecks/2024/oct/24/kamala-harris/kamala-harris-correct-that-immigration-at-the-us-s/
Donald Trump,"October 17, 2024",Vice President Kamala Harris “wants struggling seniors to pay more Social Security taxes while she gives Medicare and Social Security to illegals.”,false,ad,Immigration; Medicare; Social Security; Taxes,Louis Jacobson,"October 23, 2024",https://www.politifact.com/factchecks/2024/oct/23/donald-trump/donald-trump-ad-distorts-kamala-harris-stance-on-s/
Kelly Ayotte,"September 25, 2024","“There was a bill to basically create a ban to make sure we never become a sanctuary state, that no locality passes those regulations, and (former Manchester Mayor Joyce Craig) opposed that bill.”",mostly-true,debate,Immigration,Louis Jacobson,"October 23, 2024",https://www.politifact.com/factchecks/2024/oct/23/kelly-ayotte/fact-checking-new-hampshires-governor-race-did-joy/
Donald Trump,"September 20, 2024",Kamala Harris “supports taxpayer-funded sex changes for prisoners and illegal aliens.”,mostly-true,2024 campaign ad,Immigration; Criminal Justice; LGBTQ,Grace Abels,"October 18, 2024",https://www.politifact.com/factchecks/2024/oct/18/donald-trump/harris-support-for-prisoner-access-to-transgender/
Facebook posts,"October 4, 2024","The government gave $3,500 debit cards to immigrants while giving only $750 to Hurricane Helene victims.",false,Facebook posts,Georgia; Immigration; Natural Disasters; North Carolina; New York,Sofia Ahmed,"October 11, 2024",https://www.politifact.com/factchecks/2024/oct/11/facebook-posts/no-migrants-dont-receive-3500-debit-cards/
Eric Hovde,"September 5, 2024","Says Democratic opponent Tammy Baldwin ""gave stimulus checks to illegals.""",false,Campaign ad,Immigration; Elections; Social Security; Wisconsin; 2024 Senate Elections,D.L. Davis,"October 11, 2024",https://www.politifact.com/factchecks/2024/oct/11/eric-hovde/wisconsin-gop-challengers-ad-falsely-claims-dem-us/
Donald Trump,"October 4, 2024",The Biden administration stole $1 billion “from FEMA to use it for illegal migrants. … And FEMA is now busted. They don’t have any money.”,pants-fire,conversation with reporters,Immigration; National; Elections; Natural Disasters; Weather,Maria Ramirez Uribe,"October 8, 2024",https://www.politifact.com/factchecks/2024/oct/08/donald-trump/biden-administration-didnt-steal-1-billion-from-fe/
Eric Hovde,"October 3, 2024","""FEMA is out of money and doesn't have money to transfer to those people affected by the hurricane ... they used the money to assist illegal immigrants.""",false,"X, formerly Twitter",Immigration; National; Natural Disasters; Weather; Wisconsin,Hope Karnopp,"October 8, 2024",https://www.politifact.com/factchecks/2024/oct/08/eric-hovde/eric-hovde-circulates-false-hurricane-helene-claim/
Elon Musk,"October 2, 2024","With U.S. Customs and Border Protection’s CBP One app, it “takes less than 5 minutes and zero documentation to get approved as an illegal immigrant and be flown to the United States with air tickets paid for by the American taxpayer.”",false,post on X,Immigration,Jeff Cercone,"October 4, 2024",https://www.politifact.com/factchecks/2024/oct/04/elon-musk/unpacking-elon-musks-false-claim-about-cbp-one-app/
JD Vance,"October 1, 2024","Says immigrants with temporary protections in Springfield, Ohio, are “illegal immigrants.”",false,debate,Immigration; Ohio; Elections,Maria Ramirez Uribe,"October 3, 2024",https://www.politifact.com/factchecks/2024/oct/03/jd-vance/immigration-experts-say-jd-vance-is-wrong-haitians/
Donald Trump,"September 29, 2024","Kamala Harris ""let in the 13,099 convicted murderers and opposes all efforts to find them and to remove them.""",false,rally,Immigration; Crime,Marta Campabadal Graus,"October 2, 2024",https://www.politifact.com/factchecks/2024/oct/02/donald-trump/why-donald-trumps-claim-that-kamala-harris-let-in/
Donald Trump Jr.,"September 9, 2024","“Less than three months ago, Kamala Harris and her administration blocked 300,000 unvetted Haitian migrants from being deported out of our country.""",mostly-false,post,Immigration; Facebook Fact-checks,Kwasi Gyamfi Asiedu,"September 30, 2024",https://www.politifact.com/factchecks/2024/sep/30/donald-trump-jr/biden-administration-prevented-haitians-deportatio/
Tim Sheehy,"September 27, 2024","U.S. Sen. Jon Tester “voted to give taxpayer-funded health care to illegal immigrants.""",false,ad,Immigration; Health Care; 2024 Senate Elections,Louis Jacobson,"September 30, 2024",https://www.politifact.com/factchecks/2024/sep/30/tim-sheehy/in-montana-senate-race-tim-sheehy-airs-inaccurate/
Instagram posts,"September 23, 2024",The government is arming “illegal immigrants.”,false,Instagram post,Immigration; Guns,Sofia Ahmed,"September 26, 2024",https://www.politifact.com/factchecks/2024/sep/26/instagram-posts/no-the-us-government-is-not-arming-immigrants-in-t/
JD Vance,"September 10, 2024","“Communicable diseases like HIV and TB (tuberculosis) have skyrocketed” after Haitian migrants came to Springfield, Ohio.",mostly-false,interview,Immigration; Health Care; Public Health,Maria Ramirez Uribe,"September 26, 2024",https://www.politifact.com/factchecks/2024/sep/26/jd-vance/communicable-disease-rates-in-springfield-ohio-hav/
Donald Trump,"September 18, 2024","When Haitians go to school in Springfield, Ohio, they “take the place of our children in school” and “each one will have a private interpreter.""",false,speech,Immigration; National; Ohio; Education; Elections,Amy Sherman,"September 23, 2024",https://www.politifact.com/factchecks/2024/sep/23/donald-trump/fact-checking-trumps-statement-about-haitian-stude/
JD Vance,"September 15, 2024","In Springfield, Ohio, “murders are up by 81%.”",mostly-false,CNN interview,Immigration; Elections; Crime,Madison Czopek,"September 23, 2024",https://www.politifact.com/factchecks/2024/sep/23/jd-vance/vance-cherry-picks-data-to-claim-81-murder-spike-a/
Dave McCormick,"September 13, 2024","Charleroi, Pennsylvania, “has grown by 2,000% due to an influx in migrants.”",false,X post,Immigration; Pennsylvania; 2024 Senate Elections,Caleb McCullough,"September 19, 2024",https://www.politifact.com/factchecks/2024/sep/19/dave-mccormick/dave-mccormick-exaggerates-charleroi-pa-population/
Kari Lake,"September 13, 2024",Rep. Ruben Gallego’s “first act in Congress was to propose legislation to BAN the use of the term ‘illegal alien.’”,false,post on X,Immigration; Congress; Arizona; 2024 Senate Elections,Mia Osmonbekov,"September 19, 2024",https://www.politifact.com/factchecks/2024/sep/19/kari-lake/ruben-gallegos-first-act-in-congress-was-not-to-pr/
Bernie Moreno,"September 9, 2024","“Illegal” Haitians in Springfield, Ohio, are “reportedly killing and eating pets.”",pants-fire,Instagram post,Immigration; Ohio; 2024 Senate Elections,Seth A. Richardson,"September 18, 2024",https://www.politifact.com/factchecks/2024/sep/18/bernie-moreno/republican-us-senate-candidate-bernie-moreno-pushe/
Donald Trump,"August 28, 2024","“Kamala Harris has promised amnesty for the 10 million illegals she allowed in as border czar, making them eligible for Social Security. Studies warn this will lead to cuts in your Social Security benefits.""",false,ad,Immigration; Economy; Social Security,Maria Ramirez Uribe,"September 18, 2024",https://www.politifact.com/factchecks/2024/sep/18/donald-trump/donald-trump-ad-makes-false-claims-about-kamala-ha/
Instagram posts,"September 8, 2024","Immigrants get $2,000 each time they cross the border illegally.",false,Instagram posts,Immigration; California,Sofia Ahmed,"September 12, 2024",https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/no-the-federal-government-is-not-paying-immigrants/
Instagram posts,"September 9, 2024","A Haitian woman was arrested in Springfield, Ohio, for eating a cat.",pants-fire,Instagram posts,Immigration; Animals; Ohio; Debates,Sofia Ahmed,"September 12, 2024",https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/arrest-of-a-canton-ohio-woman-unrelated-to-baseles/
