statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Donald Trump,"August 21, 2024",“The Harris-Biden Administration has been caught fraudulently manipulating Job Statistics.”,pants-fire,Truth Social post,Economy; Jobs,Louis Jacobson,"August 23, 2024",https://www.politifact.com/factchecks/2024/aug/23/donald-trump/donald-trumps-pants-on-fire-claim-that-biden-harri/
Pete Buttigieg,"July 28, 2024","“Even before the pandemic, America went into a manufacturing recession.”",mostly-true,interview on Fox News Sunday,Economy; Jobs,Louis Jacobson,"July 31, 2024",https://www.politifact.com/factchecks/2024/jul/31/pete-buttigieg/was-us-manufacturing-in-recession-before-the-pande/
Donald Trump,"June 15, 2024",The Trump administration “achieved the lowest African American unemployment rate and the lowest African American poverty rate ever recorded.”,half-true,remarks,Economy; Jobs; Race and Ethnicity; Poverty,Louis Jacobson,"June 20, 2024",https://www.politifact.com/factchecks/2024/jun/20/donald-trump/black-poverty-unemployment-set-record-lows-on-trum/
Nancy Pelosi,"April 29, 2024",Former President Donald Trump “has the worst record of job loss of any president.”,half-true,interview with MSNBC,Economy; Jobs,Louis Jacobson,"May 2, 2024",https://www.politifact.com/factchecks/2024/may/02/nancy-pelosi/nancy-pelosi-omits-pandemic-in-singling-out-job-lo/
Robert F. Kennedy Jr.,"March 31, 2024","""The much-trumpeted job growth in the last year was ENTIRELY part-time jobs.""",half-true,post on X,Economy; Jobs,Louis Jacobson,"April 26, 2024",https://www.politifact.com/factchecks/2024/apr/26/robert-f-kennedy-jr/was-last-years-us-job-growth-all-from-part-time/
Joe Biden,"April 8, 2024","Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",mostly-false,speech,National; Economy; Education; Jobs,Marta Campabadal Graus,"April 15, 2024",https://www.politifact.com/factchecks/2024/apr/15/joe-biden/fact-checking-joe-bidens-claim-on-education-requir/
Scott Walker,"March 3, 2024",“We just had 100% increase in layoffs.”,mostly-true,TV interview,Jobs; Workers; Wisconsin,Ricardo Torres,"March 29, 2024",https://www.politifact.com/factchecks/2024/mar/29/scott-walker/former-wisconsin-governors-statement-on-layoffs-is/
JD Vance,"March 14, 2024",Says “100% of net job creation under the Biden administration has gone to the foreign-born.”,mostly-false,interview with Fox News,Immigration; Corrections and Updates; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"March 27, 2024",https://www.politifact.com/factchecks/2024/mar/27/jd-vance/is-vance-right-that-native-born-Americans/
Simon Rosenberg,"March 8, 2024","“Since 1989 and a new age of globalization began, 51 million jobs have been created in America. 49 million, 96%, have been created under Democratic presidents.”",mostly-true,post on X,Economy; Jobs,Louis Jacobson,"March 21, 2024",https://www.politifact.com/factchecks/2024/mar/21/simon-rosenberg/have-96-of-jobs-created-over-35-years-emerged-unde/
Brian Schimming,"March 13, 2024","“On Joe Biden’s watch, Wisconsin has lost 6,000 manufacturing jobs and 455 dairy farms in the last year.”",mostly-false,Statement,National; Economy; Jobs; Wisconsin,Ricardo Torres,"March 20, 2024",https://www.politifact.com/factchecks/2024/mar/20/brian-schimming/wisconsin-gop-blast-biden-on-manufacturing-job-los/
Donald Trump,"March 9, 2024","""In February alone, nearly 1 million jobs held by native-born Americans disappeared.""",false,rally,Economy; Jobs; Race and Ethnicity; Workers,Louis Jacobson,"March 12, 2024",https://www.politifact.com/factchecks/2024/mar/12/donald-trump/fact-checking-donald-trumps-dubious-claim-about-jo/
Joe Biden,"February 13, 2024","Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",true,campaign ad,Economy; Jobs; Race and Ethnicity,Louis Jacobson,"February 15, 2024",https://www.politifact.com/factchecks/2024/feb/15/joe-biden/has-black-entrepreneurship-hit-a-record-during-joe/
Donna Brazile,"February 4, 2024","Under President Joe Biden, “Black unemployment is the lowest in American history.”",mostly-true,"roundtable on ABC's ""This Week""",Economy; Jobs; Race and Ethnicity; PunditFact,Louis Jacobson,"February 5, 2024",https://www.politifact.com/factchecks/2024/feb/05/donna-brazile/donna-brazile-reince-priebus-disagreed-on-when-bla/
Tony Evers,"January 23, 2024","“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",true,Speech,Economy; Jobs; Labor; Wisconsin,Sophia Voight,"February 2, 2024",https://www.politifact.com/factchecks/2024/feb/02/tony-evers/is-gov-evers-right-that-wisconsins-unemployment-ra/
Joe Biden,"January 24, 2024","“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",half-true,speech to the United Auto Workers,Economy; Jobs,Louis Jacobson,"January 29, 2024",https://www.politifact.com/factchecks/2024/jan/29/joe-biden/fact-checking-joe-biden-on-auto-jobs-gained-and-lo/
Joe Biden,"December 5, 2023","“We’ve created close to 800,000 manufacturing jobs since I’ve taken office.”",mostly-true,post on X,Economy; Jobs,Louis Jacobson,"December 13, 2023",https://www.politifact.com/factchecks/2023/dec/13/joe-biden/fact-checking-joe-biden-on-manufacturing-jobs/
One Nation,"September 4, 2023","Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",mostly-false,petition,West Virginia; Economy; Energy; Jobs,Aidan Cornue,"October 24, 2023",https://www.politifact.com/factchecks/2023/oct/24/one-nation/petition-critical-of-joe-manchin-exaggerates-numbe/
Jim Justice,"August 24, 2023","“Under Jim Justice,” West Virginia had “the lowest unemployment rate in state history.”",mostly-true,post on X,West Virginia; Economy; Jobs,Kylie Tuttle,"September 26, 2023",https://www.politifact.com/factchecks/2023/sep/26/jim-justice/did-west-virginia-unemployment-rate-hit-record-low/
Joe Biden,"August 24, 2023","Since Joe Biden “has taken office, unemployment in our (Latino) community has been cut in half.""",mostly-true,campaign ad,Corrections and Updates; Economy; Jobs,Marta Campabadal Graus,"September 22, 2023",https://www.politifact.com/factchecks/2023/sep/22/joe-biden/joe-biden-claims-that-hispanic-unemployment-has-be/
Bernie Sanders,"September 17, 2023",“CEOs are now making 400 times more than their average worker.”,mostly-true,"interview on CNN's ""State of the Union""",Corporations; Economy; Jobs,Matthew Crowley,"September 21, 2023",https://www.politifact.com/factchecks/2023/sep/21/bernie-sanders/do-ceos-earn-400-times-more-than-their-typical-wor/
Joe Biden,"August 15, 2023",“A higher percentage of American workers are working today than ever before.”,mostly-false,speech,Economy; Jobs,Louis Jacobson,"August 21, 2023",https://www.politifact.com/factchecks/2023/aug/21/joe-biden/fact-checking-joe-biden-on-the-murky-topic-of-empl/
Donald Trump,"August 5, 2023","“During Biden’s first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs.”",false,speech,Economy; Jobs,Louis Jacobson,"August 8, 2023",https://www.politifact.com/factchecks/2023/aug/08/donald-trump/donald-trump-vastly-underestimates-job-gains-under/
Nicole Malliotakis,"July 14, 2023",“You can work at some McDonald’s in this country for more money than … signing up for the military.”,half-true,radio interview,Jobs; Military; New York,Jill Terreri Ramos,"July 28, 2023",https://www.politifact.com/factchecks/2023/jul/28/nicole-malliotakis/fast-food-jobs-vs-the-military-pay-comparison-miss/
Joe Biden,"June 28, 2023","Says that under his presidency, the unemployment rate has “been below 4% for the longest stretch in 50 years in American history.”",mostly-true,speech,Economy; Jobs,Louis Jacobson,"June 29, 2023",https://www.politifact.com/factchecks/2023/jun/29/joe-biden/fact-checking-joe-biden-on-his-unemployment-rate-a/
Tim Scott,"May 22, 2023",“The share of working-age men choosing to work is the lowest it has ever been.”,half-true,his presidential announcement speech,Economy; Jobs; Women; Workers,Louis Jacobson,"May 24, 2023",https://www.politifact.com/factchecks/2023/may/24/tim-scott/is-tim-scott-right-that-a-record-low-share-of-work/
Greg Abbott,"February 16, 2023","""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",half-true,State of the State speech,Corporations; Jobs; Small Business; Texas,Aarón Torres,"March 20, 2023",https://www.politifact.com/factchecks/2023/mar/20/greg-abbott/gov-greg-abbott-says-texas-no-1-state-business-it/
Joe Biden,"February 3, 2023",“We created more new jobs in two years than any president did in their entire term.”,half-true,speech,Economy; Jobs,Louis Jacobson,"February 7, 2023",https://www.politifact.com/factchecks/2023/feb/07/joe-biden/joe-bidens-boast-about-job-creation-needs-some-ast/
Joe Biden,"January 25, 2023","“Two years ago this week, 18 million people were out of work needing unemployment benefits. Today, that number is under 1.6 million, the lowest in decades.”",half-true,tweet,Economy; Jobs,Louis Jacobson,"January 27, 2023",https://www.politifact.com/factchecks/2023/jan/27/joe-biden/joe-biden-touts-big-joblessness-drop-but/
Joe Biden,"January 12, 2023",“Take-home pay for workers is going up.”,half-true,remarks at the White House,Economy; Jobs; Workers,Louis Jacobson,"January 13, 2023",https://www.politifact.com/factchecks/2023/jan/13/joe-biden/wage-gains-are-now-exceeding-inflation-but-theyre/
Tammy Baldwin,"December 8, 2022","""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",true,Twitter,National; Income; Jobs; Wisconsin,D.L. Davis,"December 16, 2022",https://www.politifact.com/factchecks/2022/dec/16/tammy-baldwin/yes-wage-gap-does-have-big-impact-latina-workers/
Robin Vos,"November 22, 2022","“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",mostly-false,Public statement,National; Economy; Jobs; Welfare; Coronavirus; Wisconsin,Laura Schulte,"December 1, 2022",https://www.politifact.com/factchecks/2022/dec/01/robin-vos/vos-mostly-wrong-claim-pandemic-unemployment-payme/
Joe Biden,"October 8, 2022","The Biden administration has “created” more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.",half-true,Instagram post,Economy; Jobs,Louis Jacobson,"October 13, 2022",https://www.politifact.com/factchecks/2022/oct/13/joe-biden/un-spinning-white-house-chart-bidens-job-gains/
Catherine Cortez Masto,"October 5, 2022",Says Adam Laxalt said it is “good news” that “a lot of those Hispanic small businesses never reopened” after the pandemic.,false,ad,Nevada; Jobs; Ad Watch,Tom Kertscher,"October 12, 2022",https://www.politifact.com/factchecks/2022/oct/12/catherine-cortez-masto/cortez-mastos-spanish-ad-twists-laxalts-remarks-lo/
Joe Biden,"August 16, 2022",The American Rescue Plan “helped create nearly 10 million new jobs.”,mostly-false,remarks at the White House,National; Economy; Jobs,Louis Jacobson,"August 24, 2022",https://www.politifact.com/factchecks/2022/aug/24/joe-biden/joe-biden-exaggerates-job-creation-impact-american/
Rebecca Kleefisch,"July 24, 2022","""There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.""",mostly-false,Twitter,Health Care; Jobs; Legal Issues; Medicaid; Workers; Wisconsin,D.L. Davis,"August 2, 2022",https://www.politifact.com/factchecks/2022/aug/02/rebecca-kleefisch/kleefisch-mark-claim-linking-worker-shortage-and-m/
Tim Michels,"June 23, 2022",“My company was building the Keystone Pipeline when (President Joe) Biden canceled it.”,mostly-true,Twitter,Economy; Energy; Gas Prices; Jobs; Wisconsin,Kelly Smits,"July 21, 2022",https://www.politifact.com/factchecks/2022/jul/21/tim-michels/michels-target-claim-my-company-was-building-keyst/
Tim Michels,"June 23, 2022","The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",mostly-false,Twitter,Energy; Gas Prices; Jobs; Wisconsin,Kelly Smits,"July 21, 2022",https://www.politifact.com/factchecks/2022/jul/21/tim-michels/end-keystone-pipeline-did-cost-jobs-most-were-temp/
Liberal Groups,"June 2, 2022","""Milwaukee’s hotels and restaurants are already filled during the summer. The RNC convention will simply replace those who normally visit our city.""",mostly-false,Public statement,Economy; Income; Jobs; Wisconsin,Vanessa Swales,"July 12, 2022",https://www.politifact.com/factchecks/2022/jul/12/politifact-group/milwaukees-hotels-and-restaurants-would-benefit-rn/
Cavalier Johnson,"May 27, 2022",The RNC is “a $200 million economic infusion into our communities.”,half-true,News conference,Economy; Elections; Income; Jobs; Wisconsin,Vanessa Swales,"July 8, 2022",https://www.politifact.com/factchecks/2022/jul/08/cavalier-johnson/mayor-johnson-overestimates-economic-benefit-hosti/
Lawrence Summers,"June 17, 2022","“When you have unemployment below 4% and inflation above 4%, recession always follows within two years.”",mostly-false,interview with Barron's,Economy; Jobs,Louis Jacobson,"June 23, 2022",https://www.politifact.com/factchecks/2022/jun/23/lawrence-summers/fact-checking-larry-summers-formula-unemploymen/
Karine Jean-Pierre,"June 13, 2022",When Joe Biden “walked into this administration …  20 million people were on unemployment insurance benefits.”,false,press briefing,Economy; Jobs,Louis Jacobson,"June 14, 2022",https://www.politifact.com/factchecks/2022/jun/14/karine-jean-pierre/white-house-gets-it-wrong-unemployment-level-when-/
Zach Wahls,"May 31, 2022",“There are fewer Iowans working today than when Gov. Reynolds took office.”,mostly-true,end-of-year Senate Democrats newsletter,Economy; Jobs; Iowa,Lyle Muller,"June 9, 2022",https://www.politifact.com/factchecks/2022/jun/09/zach-wahls/iowas-jobs-numbers-now-will-be-recalculated/
Nancy Pelosi,"May 15, 2022","“When unemployment goes down, inflation goes up.”",mostly-false,"interview on ABC's ""This Week""",Economy; Jobs,Louis Jacobson,"May 17, 2022",https://www.politifact.com/factchecks/2022/may/17/nancy-pelosi/nancy-pelosi-repeats-outdated-economic-theory-link/
Mike Gibbons,"April 7, 2022","""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",mostly-false,ad,Ohio; China; Jobs; Ad Watch,Tom Kertscher,"April 22, 2022",https://www.politifact.com/factchecks/2022/apr/22/mike-gibbons/ohio-us-senate-race-gibbons-levels-misleading-atta/
Ron Klain,"April 3, 2022","The economy was ""dead in the water when we got here. Virtually no jobs created.""",mostly-false,"interview on ABC's ""This Week""",Economy; Jobs,Louis Jacobson,"April 4, 2022",https://www.politifact.com/factchecks/2022/apr/04/ron-klain/ron-klain-exaggerates-turnaround-jobs-joe-bidens-w/
Mehmet Oz,"March 17, 2022","""David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.""",mostly-false,ad,Candidate Biography; Jobs; Ad Watch; Pennsylvania,Tom Kertscher,"March 29, 2022",https://www.politifact.com/factchecks/2022/mar/29/mehmet-oz/dr-oz-claimed-gop-senate-rival-mccormick-bragged-a/
Tim Kaine,"March 15, 2022",“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,true,tweet.,Income; Jobs; Women; Workers; Virginia,Warren Fiske,"March 18, 2022",https://www.politifact.com/factchecks/2022/mar/18/tim-kaine/kaine-correctly-describes-virginias-pay-gap-betwee/
Ben Shapiro,"March 1, 2022","""There is no evidence Biden’s spending produced one job. Nonpartisan projections for job growth in 2021, not including that American Rescue Plan, showed higher job growth than Biden produced.”",mostly-false,YouTube video,Corrections and Updates; Economy; Jobs,Jeff Cercone,"March 9, 2022",https://www.politifact.com/factchecks/2022/mar/09/ben-shapiro/ben-shapiro-claimed-bidens-job-figures-2021-didnt-/
Joe Biden,"March 1, 2022","“Our economy created over 6.5 million new jobs just last year, more jobs in one year than ever before in the history of the United States of America.”",half-true,his State of the Union address,Economy; Jobs,Louis Jacobson,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/02/joe-biden/fact-checking-joe-biden-scale-job-gains-2021/
Democratic Senatorial Campaign Committee,"January 7, 2022",Sen. Ron Johnson has been “rewarding companies that outsource to China.”,false,ad,China; Jobs; Taxes; Ad Watch; Wisconsin,Tom Kertscher,"February 28, 2022",https://www.politifact.com/factchecks/2022/feb/28/democratic-senatorial-campaign-committee/democratic-groups-false-attack-wis-gop-sen-ron-joh/
Ron Klain,"November 7, 2021","The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”",half-true,"interview on NBC's ""Meet the Press""",Economy; Jobs; Public Health; Coronavirus,Louis Jacobson,"November 10, 2021",https://www.politifact.com/factchecks/2021/nov/10/ron-klain/ron-klain-exaggerates-improvements-employment-coro/
Ron DeSantis,"October 22, 2021","“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”",half-true,Facebook post,Economy; Jobs,Louis Jacobson,"October 27, 2021",https://www.politifact.com/factchecks/2021/oct/27/ron-desantis/fact-checking-ron-desantis-job-growth-florida/
Ben Wikler,"September 23, 2021","Says Rebecca Kleefisch played a key role in the Foxconn deal, “the largest attempted government handout to a foreign company in American history.""",mostly-true,Twitter,National; Economy; History; Jobs; Wisconsin,Madeline Heim,"October 26, 2021",https://www.politifact.com/factchecks/2021/oct/26/ben-wikler/yes-foxconn-deal-was-largest-government-incentive-/
Joe Biden,"October 21, 2021",“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,half-true,town hall,Economy; Jobs,Louis Jacobson,"October 22, 2021",https://www.politifact.com/factchecks/2021/oct/22/joe-biden/fact-checking-joe-biden-about-job-gains-his-watch/
Facebook posts,"October 5, 2021","“In case you forgot. Two years ago today, we were experiencing the greatest economy in the history of the world.”",false,social media posts,Economy; Jobs; Facebook Fact-checks,Louis Jacobson,"October 8, 2021",https://www.politifact.com/factchecks/2021/oct/08/facebook-posts/no-donald-trump-didnt-lead-greatest-economy-histor/
Joe Biden,"October 5, 2021","""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",mostly-true,speech,Children; Economy; Jobs; Women,Louis Jacobson,"October 8, 2021",https://www.politifact.com/factchecks/2021/oct/08/joe-biden/joe-biden-largely-right-share-us-women-workforce-n/
Facebook posts,"September 15, 2021","A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine.",false,Facebook post,Jobs; Public Health; Facebook Fact-checks; Coronavirus,Andy Nguyen,"September 23, 2021",https://www.politifact.com/factchecks/2021/sep/23/facebook-posts/companies-cant-be-sued-if-workers-get-injured-covi/
Jennifer Granholm,"September 8, 2021","“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",half-true,interview on CNN,West Virginia; Economy; Energy; Jobs,Duncan Slade,"September 21, 2021",https://www.politifact.com/factchecks/2021/sep/21/jennifer-granholm/would-joe-bidens-clean-energy-plan-bring-20000-job/
Gwen Moore,"September 3, 2021",“President Biden has created more jobs in his first 7 months than any POTUS in history.”,half-true,Twitter,Economy; Jobs; Workers; Wisconsin,Laura Schulte,"September 21, 2021",https://www.politifact.com/factchecks/2021/sep/21/gwen-moore/biden-has-overseen-large-increase-jobs-hes-not-rea/
Ralph Northam,"August 18, 2021",The Virginia Employment Commission is sixth in the nation for getting benefits to eligible people quickly…”,mostly-true,speech.,Jobs; Virginia,Warren Fiske,"September 7, 2021",https://www.politifact.com/factchecks/2021/sep/07/ralph-northam/virginia-6th-getting-unemployment-checks-out-fast-/
Kurt Bauer,"June 27, 2021",“We are not having replacement birth rates. We have had more people leaving the state than coming in over the last 30 years.”,half-true,TV interview,Jobs; Population; States; Workers; Wisconsin,D.L. Davis,"August 10, 2021",https://www.politifact.com/factchecks/2021/aug/10/kurt-bauer/wisconsins-working-age-population-drops-while-popu/
Facebook posts,"August 4, 2021","""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""",false,Facebook post,Economy; Jobs; Public Health; Welfare; Facebook Fact-checks; Coronavirus,Bill McCarthy,"August 5, 2021",https://www.politifact.com/factchecks/2021/aug/05/facebook-posts/getting-fired-over-vaccine-mandate-may-cost-you-un/
Joe Biden,"July 23, 2021","When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",mostly-true,speech.,Economy; Jobs; Virginia,Warren Fiske,"July 30, 2021",https://www.politifact.com/factchecks/2021/jul/30/joe-biden/bidens-claim-about-virginia-unemployment-largely-h/
Joe Biden,"July 2, 2021","“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”",half-true,remarks at the White House,Economy; Jobs,Louis Jacobson,"July 9, 2021",https://www.politifact.com/factchecks/2021/jul/09/joe-biden/joe-biden-target-early-job-gains-figure-leaves-out/
Adriano Espaillat,"June 8, 2021",“40% of  jobs in this country pay less than the average unemployment check of $750/week.”,half-true,Tweet,Economy; Jobs; New York,Jill Terreri Ramos,"July 3, 2021",https://www.politifact.com/factchecks/2021/jul/03/adriano-espaillat/espaillats-claim-has-some-truth-it-though-average-/
Mandela Barnes,"May 23, 2021","“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",true,Twitter,Income; Jobs; Workers; Wisconsin,Madeline Heim,"June 19, 2021",https://www.politifact.com/factchecks/2021/jun/19/mandela-barnes/yes-its-been-decades-minimum-wage-kept-inflation-a/
Glenn Grothman,"June 8, 2021",“We have a record 9.3 million job openings in the U.S.”,true,Twitter,Jobs; Workers; Wisconsin,Laura Schulte,"June 18, 2021",https://www.politifact.com/factchecks/2021/jun/18/glenn-grothman/grothman-right-claim-93-million-jobs-are-open-us/
Mark Born,"June 2, 2021","“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",true,Twitter,Jobs; States; Workers; Wisconsin,D.L. Davis,"June 18, 2021",https://www.politifact.com/factchecks/2021/jun/18/mark-born/state-rep-born-claim-unemployment-claims-pandemic-/
Wisconsin Manufacturers and Commerce,"March 9, 2021",“Right to Work states have: faster private sector employment growth”,half-true,Twitter,Jobs; States; Wisconsin,Nusaiba Mizan,"June 9, 2021",https://www.politifact.com/factchecks/2021/jun/09/wisconsin-manufacturers-and-commerce/lobbying-group-says-right-work-laws-lead-faster-em/
Greg Abbott,"May 18, 2021",“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,true,interview,Economy; Jobs; Coronavirus; Texas,Brandon Mulder,"May 21, 2021",https://www.politifact.com/factchecks/2021/may/21/greg-abbott/job-openings-texas-match-number-people-unemploymen/
Lindsay James,"May 11, 2021","“There are more job openings than there are people on unemployment"" in Iowa.",true,tweet,Economy; Jobs; Iowa,Lyle Muller,"May 12, 2021",https://www.politifact.com/factchecks/2021/may/12/lindsay-james/low-unemployment-iowa-after-pandemic/
Facebook posts,"April 24, 2021",“A year ago we had the lowest unemployment in history without using taxpayers money.”,false,Facebook post,Federal Budget; Jobs; Facebook Fact-checks; Coronavirus,Tom Kertscher,"May 5, 2021",https://www.politifact.com/factchecks/2021/may/05/facebook-posts/unemployment-was-lowest-ever-year-ago-no-it-was-hi/
Kevin McCarthy,"March 14, 2021",“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,pants-fire,interview on Fox News,National; Climate Change; Energy; Jobs; California,Jon Greenberg,"March 17, 2021",https://www.politifact.com/factchecks/2021/mar/17/kevin-mccarthy/gops-mccarthy-wrongly-accuses-democrats-destroying/
Amy Pechacek,"December 20, 2020",“We have reached our goal to clear the backlog of (unemployment) claims.”,half-true,News release,Economy; Jobs; States; Workers; Wisconsin,Laura Schulte,"March 17, 2021",https://www.politifact.com/factchecks/2021/mar/17/amy-pechacek/wisconsin-cleared-one-backlog-unemployment-claims-/
Gordon Hintz,"February 23, 2021",Republicans are “trying to create a fake unemployment insurance crisis.”,false,speech,Economy; Jobs; Coronavirus; Wisconsin,Eric Litke,"March 4, 2021",https://www.politifact.com/factchecks/2021/mar/04/gordon-hintz/no-unemployment-not-fake-crisis-wisconsin/
Ron Johnson,"January 21, 2021","The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”",mostly-true,Facebook post,Environment; Energy; Jobs; Wisconsin,Nusaiba Mizan,"February 26, 2021",https://www.politifact.com/factchecks/2021/feb/26/ron-johnson/johnson-target-keystone-pipeline-job-loss-claim/
Joe Biden,"February 16, 2021","""If we kept (the minimum wage) indexed to inflation, people would be making $20 an hour right now.”",false,remarks at a CNN town hall,Economy; Jobs; Wisconsin,Louis Jacobson,"February 18, 2021",https://www.politifact.com/factchecks/2021/feb/18/joe-biden/joe-bidens-town-hall-mistake-about-inflation-index/
